variant,profile,metric,lists,probes,clients,repeat,recall,result_hash,p50_ms,p95_ms,qps,table_bytes,index_bytes,result_count
pg18-baseline,quick,l2,100,1,1,1,0.144000,24a9a98a03fabe218021d19863e18f9d,0.913,1.179,1130.257925,58720256,54976512,500
pg18-baseline,quick,l2,100,1,1,2,0.144000,24a9a98a03fabe218021d19863e18f9d,0.902,1.171,1142.334339,58720256,54976512,500
pg18-baseline,quick,l2,100,1,1,3,0.144000,24a9a98a03fabe218021d19863e18f9d,0.907,1.169,1137.856473,58720256,54976512,500
pg18-baseline,quick,l2,100,1,12,1,0.144000,24a9a98a03fabe218021d19863e18f9d,1.148,1.415,11117.714743,58720256,54976512,500
pg18-baseline,quick,l2,100,1,12,2,0.144000,24a9a98a03fabe218021d19863e18f9d,1.148,1.425,11092.769138,58720256,54976512,500
pg18-baseline,quick,l2,100,1,12,3,0.144000,24a9a98a03fabe218021d19863e18f9d,1.151,1.420,11063.625602,58720256,54976512,500
pg18-baseline,quick,l2,100,10,1,1,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,3.701,4.782,263.825433,58720256,54976512,500
pg18-baseline,quick,l2,100,10,1,2,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,3.759,4.738,261.605860,58720256,54976512,500
pg18-baseline,quick,l2,100,10,1,3,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,3.755,4.869,259.846824,58720256,54976512,500
pg18-baseline,quick,l2,100,10,12,1,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,4.446,5.482,2674.731782,58720256,54976512,500
pg18-baseline,quick,l2,100,10,12,2,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,4.365,5.322,2735.146148,58720256,54976512,500
pg18-baseline,quick,l2,100,10,12,3,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,4.346,5.298,2749.841625,58720256,54976512,500
pg18-baseline,quick,l2,100,20,1,1,1.000000,493c961f41abec9ff7e813e1100314c1,7.090,8.527,138.229388,58720256,54976512,500
