variant,profile,metric,lists,probes,clients,repeat,recall,result_hash,p50_ms,p95_ms,qps,table_bytes,index_bytes,result_count
optimized-list-sweep,quick,l2,50,1,1,1,0.152000,19534ac32c686f011d2166dfc23eabb0,0.695,1.044,1376.347142,58720256,54804480,500
optimized-list-sweep,quick,l2,50,1,12,1,0.152000,19534ac32c686f011d2166dfc23eabb0,0.896,1.240,13107.326409,58720256,54804480,500
optimized-list-sweep,quick,l2,50,5,1,1,0.352000,293c3aa20464bd94967dbb30b6ef4690,2.756,3.699,347.661315,58720256,54804480,500
optimized-list-sweep,quick,l2,50,5,12,1,0.352000,293c3aa20464bd94967dbb30b6ef4690,3.134,3.943,3820.749903,58720256,54804480,500
optimized-list-sweep,quick,l2,50,10,1,1,0.834000,0e12d3e0655753c9a7aeee0bc5ac2d5f,4.113,5.241,236.064564,58720256,54804480,500
optimized-list-sweep,quick,l2,50,10,12,1,0.834000,0e12d3e0655753c9a7aeee0bc5ac2d5f,4.623,5.769,2571.962759,58720256,54804480,500
optimized-list-sweep,quick,l2,50,20,1,1,1.000000,493c961f41abec9ff7e813e1100314c1,5.282,6.454,184.400608,58720256,54804480,500
optimized-list-sweep,quick,l2,50,20,12,1,1.000000,493c961f41abec9ff7e813e1100314c1,5.897,7.767,1995.982030,58720256,54804480,500
optimized-list-sweep,quick,l2,100,1,1,1,0.144000,24a9a98a03fabe218021d19863e18f9d,0.319,0.449,2979.923541,58720256,54976512,500
optimized-list-sweep,quick,l2,100,1,12,1,0.144000,24a9a98a03fabe218021d19863e18f9d,0.430,0.525,28021.745079,58720256,54976512,500
optimized-list-sweep,quick,l2,100,5,1,1,0.782000,e3d7a48898eb6bbf08a4381e5a9225b4,0.562,0.815,1703.089978,58720256,54976512,500
optimized-list-sweep,quick,l2,100,5,12,1,0.782000,e3d7a48898eb6bbf08a4381e5a9225b4,0.769,1.003,15387.782848,58720256,54976512,500
optimized-list-sweep,quick,l2,100,10,1,1,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,0.865,1.241,1101.090184,58720256,54976512,500
optimized-list-sweep,quick,l2,100,10,12,1,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,1.179,1.511,10155.105163,58720256,54976512,500
optimized-list-sweep,quick,l2,100,20,1,1,1.000000,493c961f41abec9ff7e813e1100314c1,1.494,1.994,641.595598,58720256,54976512,500
optimized-list-sweep,quick,l2,100,20,12,1,1.000000,493c961f41abec9ff7e813e1100314c1,2.083,2.566,5833.655450,58720256,54976512,500
optimized-list-sweep,quick,l2,200,1,1,1,0.580000,73b713b024b236317846017c0ef82fb2,0.207,0.296,4505.958162,58720256,55476224,500
optimized-list-sweep,quick,l2,200,1,12,1,0.580000,73b713b024b236317846017c0ef82fb2,0.278,0.415,40341.030366,58720256,55476224,500
optimized-list-sweep,quick,l2,200,5,1,1,0.844000,a46506e697ec184cfc6ee1bc387ceb44,0.297,0.453,3139.076499,58720256,55476224,500
optimized-list-sweep,quick,l2,200,5,12,1,0.844000,a46506e697ec184cfc6ee1bc387ceb44,0.381,0.513,30300.115525,58720256,55476224,500
optimized-list-sweep,quick,l2,200,10,1,1,0.934000,8515dc8a6be2557ac7c357ef243a0b91,0.394,0.591,2389.394212,58720256,55476224,500
