variant,profile,metric,lists,probes,clients,repeat,recall,result_hash,p50_ms,p95_ms,qps,table_bytes,index_bytes,result_count
optimized,quick,l2,100,1,1,1,0.144000,24a9a98a03fabe218021d19863e18f9d,0.320,0.465,2952.177604,58720256,54976512,500
optimized,quick,l2,100,1,1,2,0.144000,24a9a98a03fabe218021d19863e18f9d,0.320,0.472,2956.768291,58720256,54976512,500
optimized,quick,l2,100,1,1,3,0.144000,24a9a98a03fabe218021d19863e18f9d,0.315,0.447,3028.959574,58720256,54976512,500
optimized,quick,l2,100,1,12,1,0.144000,24a9a98a03fabe218021d19863e18f9d,0.431,0.528,27992.501333,58720256,54976512,500
optimized,quick,l2,100,1,12,2,0.144000,24a9a98a03fabe218021d19863e18f9d,0.431,0.524,28042.805854,58720256,54976512,500
optimized,quick,l2,100,1,12,3,0.144000,24a9a98a03fabe218021d19863e18f9d,0.432,0.530,27835.299754,58720256,54976512,500
optimized,quick,l2,100,10,1,1,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,0.843,1.196,1132.446194,58720256,54976512,500
optimized,quick,l2,100,10,1,2,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,0.854,1.283,1103.187763,58720256,54976512,500
optimized,quick,l2,100,10,1,3,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,0.850,1.199,1123.497502,58720256,54976512,500
optimized,quick,l2,100,10,12,1,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,1.163,1.499,10285.535183,58720256,54976512,500
optimized,quick,l2,100,10,12,2,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,1.178,1.512,10163.505792,58720256,54976512,500
optimized,quick,l2,100,10,12,3,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,1.178,1.497,10189.720013,58720256,54976512,500
optimized,quick,l2,100,20,1,1,1.000000,493c961f41abec9ff7e813e1100314c1,1.478,2.029,646.843339,58720256,54976512,500
optimized,quick,l2,100,20,1,2,1.000000,493c961f41abec9ff7e813e1100314c1,1.496,2.097,636.364437,58720256,54976512,500
optimized,quick,l2,100,20,1,3,1.000000,493c961f41abec9ff7e813e1100314c1,1.486,2.036,644.310693,58720256,54976512,500
optimized,quick,l2,100,20,12,1,1.000000,493c961f41abec9ff7e813e1100314c1,2.055,2.528,5914.487453,58720256,54976512,500
optimized,quick,l2,100,20,12,2,1.000000,493c961f41abec9ff7e813e1100314c1,2.070,2.560,5868.901585,58720256,54976512,500
optimized,quick,l2,100,20,12,3,1.000000,493c961f41abec9ff7e813e1100314c1,2.083,2.617,5783.378230,58720256,54976512,500
optimized,quick,ip,100,1,1,1,0.770000,e45055679b8901feb53a2cff436c9dc6,0.264,0.391,3540.514869,58720256,54984704,500
optimized,quick,ip,100,1,1,2,0.770000,e45055679b8901feb53a2cff436c9dc6,0.268,0.404,3482.196605,58720256,54984704,500
optimized,quick,ip,100,1,1,3,0.770000,e45055679b8901feb53a2cff436c9dc6,0.269,0.409,3474.836347,58720256,54984704,500
optimized,quick,ip,100,1,12,1,0.770000,e45055679b8901feb53a2cff436c9dc6,0.346,0.468,33546.347620,58720256,54984704,500
optimized,quick,ip,100,1,12,2,0.770000,e45055679b8901feb53a2cff436c9dc6,0.345,0.468,33694.953793,58720256,54984704,500
