cls,scope,runs,points,mad_ms,mad_pct,p50_pct,p90_pct,max_pct
L,all,3,841,4669,42.33,31.51,93.82,226.28
L,stable,3,830,4609,42.16,31.48,92.57,226.28
L,unstable,3,11,9140,54.65,39.72,99.97,100.00
L-fixed,all,3,841,2828,29.08,26.30,64.59,100.00
L-fixed,stable,3,830,2783,28.94,26.32,63.82,98.88
L-fixed,unstable,3,11,6287,39.67,20.55,98.11,100.00
M,all,3,126,429,30.83,22.93,73.88,132.79
M,stable,3,116,367,29.46,22.93,67.95,132.79
M,unstable,3,10,1158,46.71,23.52,99.72,99.74
M-fixed,all,3,126,393,29.31,22.33,77.53,132.79
M-fixed,stable,3,116,348,28.55,22.38,70.89,132.79
M-fixed,unstable,3,10,924,38.04,15.83,98.20,98.34
