dataset,size_class,am,phase,weight,n_samples,dispersion
sift1m,L,ivfflat,building index: performing k-means,0.4302,3,0.1584
sift1m,L,ivfflat,building index: loading tuples,0.3042,3,0.0816
sift1m,L,ivfflat,building index: assigning tuples,0.2622,3,0.0829
sift1m,L,ivfflat,initializing,0.0033,2,0.0002
sift1m,M,ivfflat,building index: loading tuples,0.4329,3,0.0821
sift1m,M,ivfflat,building index: assigning tuples,0.3369,3,0.0479
sift1m,M,ivfflat,building index: performing k-means,0.2083,3,0.0786
sift1m,M,ivfflat,initializing,0.0219,1,0.0000
sift1m,S,ivfflat,building index: loading tuples,0.7058,3,0.5144
sift1m,S,ivfflat,building index: performing k-means,0.1792,3,0.3297
sift1m,S,ivfflat,building index: assigning tuples,0.1150,3,0.1847
sift1m,pooled,hnsw,building index: loading tuples,1.0000,3,0.0000
sift1m,pooled,ivfflat,building index: loading tuples,0.4136,13,0.7230
sift1m,pooled,ivfflat,building index: assigning tuples,0.2941,13,0.4310
sift1m,pooled,ivfflat,building index: performing k-means,0.2828,13,0.4613
sift1m,pooled,ivfflat,initializing,0.0096,3,0.0190
synthetic,pooled,hnsw,building index: loading tuples,1.0000,3,0.0000
synthetic,pooled,ivfflat,building index: performing k-means,0.4596,13,0.2821
synthetic,pooled,ivfflat,building index: assigning tuples,0.4080,13,0.2885
synthetic,pooled,ivfflat,building index: loading tuples,0.1324,11,0.1731
