ts,pid,index,am,am_source,elapsed_source,phase,intra_pct,intra_source,pct,elapsed_s,eta_s,weight_basis,risk,eta_basis
1787765860620,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",0.10,view-counter,0.10,0.1,78.1,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765861148,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",2.05,view-counter,2.05,0.6,57.5,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765861678,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",4.35,view-counter,4.35,1.1,59.6,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765862207,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",7.90,view-counter,7.90,1.7,63.1,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765862744,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",9.81,view-counter,9.81,2.2,66.2,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765863277,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",11.70,view-counter,11.70,2.7,68.6,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765863805,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",13.60,view-counter,13.60,3.3,69.9,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765864334,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",15.44,view-counter,15.44,3.8,71.3,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765864864,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",16.65,view-counter,16.65,4.3,73.6,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765865392,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",17.86,view-counter,17.86,4.8,75.7,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765865920,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",19.22,view-counter,19.22,5.4,76.3,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765866450,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",20.53,view-counter,20.53,5.9,76.8,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765866985,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",22.22,view-counter,22.22,6.4,77.8,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765867519,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",23.43,view-counter,23.43,7.0,78.9,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765868048,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",25.08,view-counter,25.08,7.5,79.6,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765868576,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",26.80,view-counter,26.80,8.0,79.6,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765869105,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",28.29,view-counter,28.29,8.6,79.8,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765869633,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",29.74,view-counter,29.74,9.1,80.5,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765870160,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",30.89,view-counter,30.89,9.6,81.5,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765870691,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",32.02,view-counter,32.02,10.1,82.5,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765871218,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",32.88,view-counter,32.88,10.7,84.9,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765871747,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",33.21,view-counter,33.21,11.2,88.0,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765872274,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",33.54,view-counter,33.54,11.7,90.8,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765872802,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",33.98,view-counter,33.98,12.2,90.5,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765873331,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",34.31,view-counter,34.31,12.8,90.1,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765873859,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",34.65,view-counter,34.65,13.3,89.8,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765874387,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",34.97,view-counter,34.97,13.8,89.5,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765874915,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",35.20,view-counter,35.20,14.4,89.3,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765875442,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",35.64,view-counter,35.64,14.9,88.9,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765875969,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",35.97,view-counter,35.97,15.4,88.6,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765876496,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",36.31,view-counter,36.31,15.9,88.2,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765877023,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",36.64,view-counter,36.64,16.5,87.9,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765877550,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",36.96,view-counter,36.96,17.0,87.5,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765878077,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",37.41,view-counter,37.41,17.5,87.2,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765878604,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",37.74,view-counter,37.74,18.1,86.8,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765879132,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",38.07,view-counter,38.07,18.6,86.4,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765879660,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",38.62,view-counter,38.62,19.1,85.9,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765880187,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",38.95,view-counter,38.95,19.6,85.5,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765880715,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",39.06,view-counter,39.06,20.2,85.2,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765881242,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",39.49,view-counter,39.49,20.7,84.7,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765881769,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",39.83,view-counter,39.83,21.2,84.2,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
