PID      INDEX            PHASE                              INTRA%    PCT     ELAPSED_S ETA_S    RISK
6219     (building oid=0) building index: loading tuples     0.10      0.10    0.1       78.1     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     2.05      2.05    0.6       57.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     4.35      4.35    1.1       59.6     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     7.90      7.90    1.7       63.1     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     9.81      9.81    2.2       66.2     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     11.70     11.70   2.7       68.6     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     13.60     13.60   3.3       69.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     15.44     15.44   3.8       71.3     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     16.65     16.65   4.3       73.6     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     17.86     17.86   4.8       75.7     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     19.22     19.22   5.4       76.3     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     20.53     20.53   5.9       76.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     22.22     22.22   6.4       77.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     23.43     23.43   7.0       78.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     25.08     25.08   7.5       79.6     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     26.80     26.80   8.0       79.6     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     28.29     28.29   8.6       79.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     29.74     29.74   9.1       80.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     30.89     30.89   9.6       81.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     32.02     32.02   10.1      82.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     32.88     32.88   10.7      84.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     33.21     33.21   11.2      88.0     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     33.54     33.54   11.7      90.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     33.98     33.98   12.2      90.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     34.31     34.31   12.8      90.1     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     34.65     34.65   13.3      89.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     34.97     34.97   13.8      89.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     35.20     35.20   14.4      89.3     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     35.64     35.64   14.9      88.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     35.97     35.97   15.4      88.6     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     36.31     36.31   15.9      88.2     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     36.64     36.64   16.5      87.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     36.96     36.96   17.0      87.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     37.41     37.41   17.5      87.2     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     37.74     37.74   18.1      86.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     38.07     38.07   18.6      86.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     38.62     38.62   19.1      85.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     38.95     38.95   19.6      85.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     39.06     39.06   20.2      85.2     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     39.49     39.49   20.7      84.7     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     39.83     39.83   21.2      84.2     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     40.16     40.16   21.7      83.7     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     40.60     40.60   22.3      83.2     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     40.95     40.95   22.8      82.6     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     41.28     41.28   23.3      82.1     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     41.73     41.73   23.9      81.6     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     42.06     42.06   24.4      81.1     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     42.40     42.40   24.9      80.6     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     42.73     42.73   25.4      80.1     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     43.17     43.17   26.0      79.6     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     43.51     43.51   26.5      79.1     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     43.84     43.84   27.0      78.7     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     44.29     44.29   27.5      78.2     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     44.61     44.61   28.1      77.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     44.94     44.94   28.6      77.3     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     45.38     45.38   29.1      76.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     45.72     45.72   29.7      76.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     46.08     46.08   30.2      75.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     46.78     46.78   30.7      75.1     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     47.15     47.15   31.3      74.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     47.64     47.64   31.8      73.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     48.22     48.22   32.3      73.2     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     48.59     48.59   32.9      72.6     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     49.06     49.06   33.4      72.0     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     49.43     49.43   33.9      71.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     50.02     50.02   34.5      70.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     50.50     50.50   35.0      70.1     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     50.89     50.89   35.6      69.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     51.49     51.49   36.1      68.6     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     51.97     51.97   36.6      67.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     52.57     52.57   37.2      67.2     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     52.83     52.83   37.7      66.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     53.19     53.19   38.2      65.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     53.56     53.56   38.8      65.3     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     54.04     54.04   39.3      64.7     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     54.39     54.39   39.8      64.2     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     54.76     54.76   40.4      63.6     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     55.12     55.12   40.9      63.1     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     55.59     55.59   41.4      62.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     55.95     55.95   42.0      62.0     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     56.22     56.22   42.5      61.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     56.58     56.58   43.0      60.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     57.05     57.05   43.6      60.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     57.41     57.41   44.1      59.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     57.77     57.77   44.6      59.3     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     58.13     58.13   45.2      58.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     58.71     58.71   45.7      58.2     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     58.96     58.96   46.2      57.7     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     59.32     59.32   46.8      57.2     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     59.67     59.67   47.3      56.7     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     60.03     60.03   47.8      56.2     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     60.50     60.50   48.4      55.7     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     60.87     60.87   48.9      55.1     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     61.23     61.23   49.5      54.6     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     61.48     61.48   50.0      54.1     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     62.07     62.07   50.5      53.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     62.43     62.43   51.0      53.0     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     62.68     62.68   51.6      52.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     63.04     63.04   52.1      51.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     63.62     63.62   52.6      51.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     63.87     63.87   53.2      50.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     64.23     64.23   53.7      50.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     64.59     64.59   54.2      49.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     64.94     64.94   54.8      49.3     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     65.42     65.42   55.3      48.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     65.79     65.79   55.8      48.2     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     66.15     66.15   56.4      47.7     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     66.40     66.40   56.9      47.2     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     66.99     66.99   57.4      46.7     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     67.35     67.35   58.0      46.1     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     67.59     67.59   58.5      45.6     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     67.95     67.95   59.0      45.1     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     68.53     68.53   59.6      44.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     68.78     68.78   60.1      44.0     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     69.13     69.13   60.6      43.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     69.50     69.50   61.2      43.0     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     69.85     69.85   61.7      42.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     70.33     70.33   62.2      41.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     70.69     70.69   62.8      41.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     70.93     70.93   63.3      40.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     71.29     71.29   63.8      40.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     71.88     71.88   64.4      39.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     72.13     72.13   64.9      39.3     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     72.48     72.48   65.4      38.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     72.84     72.84   66.0      38.3     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     73.19     73.19   66.5      37.8     ⚠ 预测会降级落盘
