case_id,class,rows,dims,lists,mwm_kb,first_hit,actual_mb,new_mb,legacy_mb,legacy_over_actual,legacy_samples,new_samples
S1,small,0,128,100,121,none,none,none,6,,10000,1
S2,small,200,128,1000,507,C2,3,3,31,10.33,50000,4365
S3,small,200,128,1000,5578,C3,9,9,31,3.44,50000,4365
S4,small,1000,64,500,4578,C3,7,7,10,1.43,25000,11058
S5,small,2000,128,1000,507,C2,22,22,38,1.73,50000,41613
S6,small-unlogged,500,256,200,10756,C3,11,11,11,1.00,10000,10000
F1,saturated,20000,128,100,7191,C3,10,10,10,1.00,10000,10000
F2,saturated,20000,128,200,9304,C3,14,14,14,1.00,10000,10000
F3,saturated,15000,128,500,28399,C3,43,43,43,1.00,25000,25000
F4,saturated,20000,256,100,12291,C3,15,15,15,1.00,10000,10000
F5,saturated,20000,64,400,21378,C3,37,37,37,1.00,20000,20000
F6,saturated,15000,128,1000,57716,C3,88,88,88,1.00,50000,50000
L1,large-lists,2000,128,2048,1039,C1,2,2,86,43.00,102400,41613
L2,large-lists,2000,128,4096,2079,C1,3,3,203,67.67,204800,41613
L3,large-lists,2000,128,8192,4160,C2,25,25,534,21.36,409600,41613
L4,large-lists,2000,128,16384,8320,C2,29,29,1580,54.48,819200,41613
L5,large-lists,2000,128,32768,16639,C1,17,17,5208,306.35,1638400,41613
X1,legacy-fail,200,128,2000,12846,C3,22,22,70,3.18,100000,4365
X2,legacy-fail,100,960,1000,10759,C3,17,17,199,11.71,50000,291
X3,build-succeeds,20000,128,100,13350,none,none,none,10,,10000,10000
