case_id	class	rows	dims	lists	target	mode	first_hit	predicted_mb	actual_mb	mwm_kb	relpages	verdict	stderr_file
S1	small	0	128	100	C3	real	none	none	none	121	0	PASS	stderr/S1.err
S2	small	200	128	1000	C2	real-threshold	C2	3	3	507	15	PASS	stderr/S2.err
S3	small	200	128	1000	C3	real-threshold	C3	9	9	5578	15	PASS	stderr/S3.err
S4	small	1000	64	500	C3	real-threshold	C3	7	7	4578	38	PASS	stderr/S4.err
S5	small	2000	128	1000	C2	real-threshold	C2	22	22	507	143	PASS	stderr/S5.err
S6	small-unlogged	500	256	200	C3	real-threshold	C3	11	11	10756	72	PASS	stderr/S6.err
F1	saturated	20000	128	100	C3	real-threshold	C3	10	10	7191	1429	PASS	stderr/F1.err
F2	saturated	20000	128	200	C3	real-threshold	C3	14	14	9304	1429	PASS	stderr/F2.err
F3	saturated	15000	128	500	C3	real-threshold	C3	43	43	28399	1072	PASS	stderr/F3.err
F4	saturated	20000	256	100	C3	real-threshold	C3	15	15	12291	2858	PASS	stderr/F4.err
F5	saturated	20000	64	400	C3	real-threshold	C3	37	37	21378	741	PASS	stderr/F5.err
F6	saturated	15000	128	1000	C3	real-threshold	C3	88	88	57716	1072	PASS	stderr/F6.err
L1	large-lists	2000	128	2048	C1	real-threshold	C1	2	2	1039	143	PASS	stderr/L1.err
L2	large-lists	2000	128	4096	C1	real-threshold	C1	3	3	2079	143	PASS	stderr/L2.err
L3	large-lists	2000	128	8192	C2	real-threshold	C2	25	25	4160	143	PASS	stderr/L3.err
L4	large-lists	2000	128	16384	C2	real-threshold	C2	29	29	8320	143	PASS	stderr/L4.err
L5	large-lists	2000	128	32768	C1	real-threshold	C1	17	17	16639	143	PASS	stderr/L5.err
X1	legacy-fail	200	128	2000	C3	real-threshold	C3	22	22	12846	15	PASS	stderr/X1.err
X2	legacy-fail	100	960	1000	C3	real-threshold	C3	17	17	10759	1	PASS	stderr/X2.err
X3	build-succeeds	20000	128	100	none	real	none	none	none	13350	1429	PASS	stderr/X3.err
