# sampler_start_epoch_ms=1787733007533
elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
1,5333,building index: loading tuples,0,0,0,0,68396,0
61,5333,building index: loading tuples,4286,54,0,742,68396,0
120,5333,building index: loading tuples,4286,131,0,1856,68396,0
179,5333,building index: loading tuples,4286,209,0,2949,68396,0
240,5333,building index: loading tuples,4286,281,0,4002,68396,0
299,5333,building index: loading tuples,4286,360,0,5030,68396,0
358,5333,building index: loading tuples,4286,440,0,6132,68396,0
420,5333,building index: loading tuples,4286,528,0,7409,68396,0
482,5333,building index: loading tuples,4286,598,0,8386,68396,0
542,5333,building index: loading tuples,4286,676,0,9473,68396,0
604,5333,building index: loading tuples,4286,752,0,10504,68396,0
663,5333,building index: loading tuples,4286,822,0,11510,68396,0
722,5333,building index: loading tuples,4286,894,0,12517,68396,0
782,5333,building index: loading tuples,4286,963,0,13500,68396,0
841,5333,building index: loading tuples,4286,1038,0,14518,68396,0
900,5333,building index: loading tuples,4286,1108,0,15507,68396,0
960,5333,building index: loading tuples,4286,1180,0,16544,68396,0
1020,5333,building index: loading tuples,4286,1250,0,17523,68396,0
1080,5333,building index: loading tuples,4286,1319,0,18502,68396,0
1139,5333,building index: loading tuples,4286,1394,0,19486,68396,0
1198,5333,building index: loading tuples,4286,1461,0,20497,68396,0
1258,5333,building index: loading tuples,4286,1533,0,21483,68396,0
1317,5333,building index: loading tuples,4286,1599,0,22468,68396,0
1377,5333,building index: loading tuples,4286,1696,0,23747,68396,0
1439,5333,building index: loading tuples,4286,1781,0,24965,68396,0
1499,5333,building index: loading tuples,4286,1860,0,25997,68396,0
1560,5333,building index: loading tuples,4286,1940,0,27159,68396,0
1621,5333,building index: loading tuples,4286,2029,0,28433,68396,0
1681,5333,building index: loading tuples,4286,2099,0,29416,68396,0
1741,5333,building index: loading tuples,4286,2167,0,30400,68396,0
1801,5333,building index: loading tuples,4286,2242,0,31387,68396,0
1861,5333,building index: loading tuples,4286,2314,0,32374,68396,0
1921,5333,building index: loading tuples,4286,2383,0,33402,68396,0
1981,5333,building index: loading tuples,4286,2456,0,34395,68396,0
2040,5333,building index: loading tuples,4286,2531,0,35424,68396,0
2101,5333,building index: loading tuples,4286,2604,0,36450,68396,0
2161,5333,building index: loading tuples,4286,2676,0,37435,68396,0
2221,5333,building index: loading tuples,4286,2743,0,38420,68396,0
2280,5333,building index: loading tuples,4286,2822,0,39483,68396,0
2342,5333,building index: loading tuples,4286,2881,0,40376,68396,0
2401,5333,building index: loading tuples,4286,2951,0,41351,68396,0
2461,5333,building index: loading tuples,4286,3044,0,42610,68396,0
2522,5333,building index: loading tuples,4286,3115,0,43611,68396,0
2582,5333,building index: loading tuples,4286,3185,0,44614,68396,0
2642,5333,building index: loading tuples,4286,3251,0,45585,68396,0
2702,5333,building index: loading tuples,4286,3327,0,46580,68396,0
2761,5333,building index: loading tuples,4286,3395,0,47568,68396,0
2820,5333,building index: loading tuples,4286,3467,0,48544,68396,0
2880,5333,building index: loading tuples,4286,3541,0,49599,68396,0
2941,5333,building index: loading tuples,4286,3617,0,50691,68396,0
3001,5333,building index: loading tuples,4286,3691,0,51683,68396,0
3060,5333,building index: loading tuples,4286,3761,0,52689,68396,0
3120,5333,building index: loading tuples,4286,3847,0,53917,68396,0
3180,5333,building index: loading tuples,4286,3939,0,55155,68396,0
3241,5333,building index: loading tuples,4286,4027,0,56379,68396,0
3300,5333,building index: loading tuples,4286,4095,0,57356,68396,0
3360,5333,building index: loading tuples,4286,4170,0,58361,68396,0
3419,5333,building index: loading tuples,4286,4239,0,59358,68396,0
3479,5333,building index: loading tuples,4286,4286,0,59983,68396,0
3540,5333,building index: loading tuples,4286,4286,0,59983,68396,0
3600,5333,building index: loading tuples,4286,4286,0,59983,68396,0
3661,5333,building index: loading tuples,4286,4286,0,59983,68396,0
