# sampler_start_epoch_ms=1787755272173
elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
1,8936,building index: performing k-means,0,0,0,0,68707,0
62,8936,building index: performing k-means,0,0,0,0,68707,0
124,8936,building index: performing k-means,0,0,0,0,68707,0
185,8936,building index: performing k-means,0,0,0,0,68707,0
247,8936,building index: performing k-means,0,0,0,0,68707,0
308,8936,building index: performing k-means,0,0,0,0,68707,0
370,8936,building index: performing k-means,0,0,0,0,68707,0
432,8936,building index: performing k-means,0,0,0,0,68707,0
493,8936,building index: performing k-means,0,0,0,0,68707,0
556,8936,building index: performing k-means,0,0,0,0,68707,0
617,8936,building index: performing k-means,0,0,0,0,68707,0
679,8936,building index: performing k-means,0,0,0,0,68707,0
741,8936,building index: performing k-means,0,0,0,0,68707,0
802,8936,building index: performing k-means,0,0,0,0,68707,0
864,8936,building index: performing k-means,0,0,0,0,68707,0
925,8936,building index: performing k-means,0,0,0,0,68707,0
986,8936,building index: performing k-means,0,0,0,0,68707,0
1047,8936,building index: performing k-means,0,0,0,0,68707,0
1108,8936,building index: performing k-means,0,0,0,0,68707,0
1169,8936,building index: performing k-means,0,0,0,0,68707,0
1230,8936,building index: performing k-means,0,0,0,0,68707,0
1291,8936,building index: performing k-means,0,0,0,0,68707,0
1352,8936,building index: performing k-means,0,0,0,0,68707,0
1414,8936,building index: performing k-means,0,0,0,0,68707,0
1475,8936,building index: performing k-means,0,0,0,0,68707,0
1536,8936,building index: performing k-means,0,0,0,0,68707,0
1597,8936,building index: performing k-means,0,0,0,0,68707,0
1658,8936,building index: performing k-means,0,0,0,0,68707,0
1719,8936,building index: performing k-means,0,0,0,0,68707,0
1780,8936,building index: assigning tuples,21440,238,0,0,68707,0
1848,8936,building index: assigning tuples,21440,963,0,0,68707,0
1912,8936,building index: assigning tuples,21440,1558,0,0,68707,0
1978,8936,building index: assigning tuples,21440,2224,0,0,68707,0
2047,8936,building index: assigning tuples,21440,2902,0,0,68707,0
2114,8936,building index: assigning tuples,21440,3571,0,0,68707,0
2177,8936,building index: assigning tuples,21440,4190,0,0,68707,0
2239,8936,building index: assigning tuples,21440,4834,0,0,68707,0
2300,8936,building index: assigning tuples,21440,5457,0,0,68707,0
2361,8936,building index: assigning tuples,21440,6082,0,0,68707,0
2422,8936,building index: assigning tuples,21440,6705,0,0,68707,0
2485,8936,building index: assigning tuples,21440,7348,0,0,68707,0
2547,8936,building index: assigning tuples,21440,7972,0,0,68707,0
2617,8936,building index: assigning tuples,21440,8689,0,0,68707,0
2678,8936,building index: assigning tuples,21440,9316,0,0,68707,0
2740,8936,building index: assigning tuples,21440,9947,0,0,68707,0
2805,8936,building index: assigning tuples,21440,10588,0,0,68707,0
2866,8936,building index: assigning tuples,21440,11196,0,0,68707,0
2927,8936,building index: assigning tuples,21440,11857,0,0,68707,0
2989,8936,building index: assigning tuples,21440,12480,0,0,68707,0
3050,8936,building index: assigning tuples,21440,13104,0,0,68707,0
3111,8936,building index: assigning tuples,21440,13734,0,0,68707,0
3182,8936,building index: assigning tuples,21440,14414,0,0,68707,0
3242,8936,building index: assigning tuples,21440,15038,0,0,68707,0
3303,8936,building index: assigning tuples,21440,15697,0,0,68707,0
3364,8936,building index: assigning tuples,21440,16322,0,0,68707,0
