# sampler_start_epoch_ms=1787755228706
elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
1,6154,building index: loading tuples,0,0,0,0,68701,0
62,6154,building index: loading tuples,7168,20,0,243,68701,0
121,6154,building index: loading tuples,7168,67,0,1007,68701,0
186,6154,building index: loading tuples,7168,123,0,1752,68701,0
248,6154,building index: loading tuples,7168,175,0,2495,68701,0
310,6154,building index: loading tuples,7168,234,0,3289,68701,0
373,6154,building index: loading tuples,7168,292,0,4050,68701,0
451,6154,building index: loading tuples,7168,350,0,4857,68701,0
512,6154,building index: loading tuples,7168,391,0,5508,68701,0
572,6154,building index: loading tuples,7168,440,0,6158,68701,0
632,6154,building index: loading tuples,7168,489,0,6795,68701,0
692,6154,building index: loading tuples,7168,533,0,7426,68701,0
752,6154,building index: loading tuples,7168,577,0,8049,68701,0
812,6154,building index: loading tuples,7168,618,0,8655,68701,0
872,6154,building index: loading tuples,7168,661,0,9249,68701,0
932,6154,building index: loading tuples,7168,704,0,9822,68701,0
992,6154,building index: loading tuples,7168,739,0,10383,68701,0
1052,6154,building index: loading tuples,7168,781,0,10929,68701,0
1112,6154,building index: loading tuples,7168,824,0,11483,68701,0
1174,6154,building index: loading tuples,7168,858,0,12030,68701,0
1239,6154,building index: loading tuples,7168,900,0,12574,68701,0
1305,6154,building index: loading tuples,7168,933,0,13090,68701,0
1369,6154,building index: loading tuples,7168,971,0,13604,68701,0
1435,6154,building index: loading tuples,7168,1003,0,14102,68701,0
1499,6154,building index: loading tuples,7168,1035,0,14584,68701,0
1562,6154,building index: loading tuples,7168,1075,0,15055,68701,0
1624,6154,building index: loading tuples,7168,1116,0,15543,68701,0
1689,6154,building index: loading tuples,7168,1144,0,16015,68701,0
1753,6154,building index: loading tuples,7168,1177,0,16498,68701,0
1817,6154,building index: loading tuples,7168,1214,0,16994,68701,0
1882,6154,building index: loading tuples,7168,1246,0,17444,68701,0
1945,6154,building index: loading tuples,7168,1274,0,17886,68701,0
2007,6154,building index: loading tuples,7168,1306,0,18330,68701,0
2069,6154,building index: loading tuples,7168,1341,0,18762,68701,0
2131,6154,building index: loading tuples,7168,1373,0,19232,68701,0
2223,6154,building index: loading tuples,7168,1420,0,19837,68701,0
2286,6154,building index: loading tuples,7168,1449,0,20266,68701,0
2347,6154,building index: loading tuples,7168,1476,0,20669,68701,0
2409,6154,building index: loading tuples,7168,1509,0,21111,68701,0
2470,6154,building index: loading tuples,7168,1537,0,21529,68701,0
2532,6154,building index: loading tuples,7168,1565,0,21918,68701,0
2593,6154,building index: loading tuples,7168,1594,0,22357,68701,0
2655,6154,building index: loading tuples,7168,1626,0,22767,68701,0
2717,6154,building index: loading tuples,7168,1653,0,23174,68701,0
2786,6154,building index: loading tuples,7168,1683,0,23684,68701,0
2848,6154,building index: loading tuples,7168,1728,0,24177,68701,0
2913,6154,building index: loading tuples,7168,1758,0,24632,68701,0
2977,6154,building index: loading tuples,7168,1787,0,25085,68701,0
3041,6154,building index: loading tuples,7168,1821,0,25529,68701,0
3106,6154,building index: loading tuples,7168,1854,0,25970,68701,0
3172,6154,building index: loading tuples,7168,1882,0,26399,68701,0
3237,6154,building index: loading tuples,7168,1910,0,26817,68701,0
3300,6154,building index: loading tuples,7168,1942,0,27200,68701,0
3367,6154,building index: loading tuples,7168,1966,0,27618,68701,0
3429,6154,building index: loading tuples,7168,1998,0,28025,68701,0
3494,6154,building index: loading tuples,7168,2026,0,28415,68701,0
3557,6154,building index: loading tuples,7168,2054,0,28823,68701,0
3619,6154,building index: loading tuples,7168,2087,0,29246,68701,0
3684,6154,building index: loading tuples,7168,2111,0,29689,68701,0
3749,6154,building index: loading tuples,7168,2152,0,30135,68701,0
3811,6154,building index: loading tuples,7168,2196,0,30691,68701,0
3874,6154,building index: loading tuples,7168,2232,0,31186,68701,0
3939,6154,building index: loading tuples,7168,2268,0,31682,68701,0
4004,6154,building index: loading tuples,7168,2291,0,32134,68701,0
