# sampler_start_epoch_ms=1787755174970
elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
0,3189,initializing,0,0,0,0,68713,0
61,3189,building index: performing k-means,0,0,0,0,68713,0
121,3189,building index: performing k-means,0,0,0,0,68713,0
182,3189,building index: performing k-means,0,0,0,0,68713,0
243,3189,building index: performing k-means,0,0,0,0,68713,0
305,3189,building index: performing k-means,0,0,0,0,68713,0
366,3189,building index: performing k-means,0,0,0,0,68713,0
427,3189,building index: performing k-means,0,0,0,0,68713,0
488,3189,building index: performing k-means,0,0,0,0,68713,0
548,3189,building index: performing k-means,0,0,0,0,68713,0
610,3189,building index: performing k-means,0,0,0,0,68713,0
671,3189,building index: performing k-means,0,0,0,0,68713,0
732,3189,building index: performing k-means,0,0,0,0,68713,0
793,3189,building index: performing k-means,0,0,0,0,68713,0
855,3189,building index: performing k-means,0,0,0,0,68713,0
916,3189,building index: performing k-means,0,0,0,0,68713,0
977,3189,building index: performing k-means,0,0,0,0,68713,0
1037,3189,building index: performing k-means,0,0,0,0,68713,0
1098,3189,building index: performing k-means,0,0,0,0,68713,0
1159,3189,building index: performing k-means,0,0,0,0,68713,0
1221,3189,building index: performing k-means,0,0,0,0,68713,0
1282,3189,building index: performing k-means,0,0,0,0,68713,0
1343,3189,building index: performing k-means,0,0,0,0,68713,0
1403,3189,building index: performing k-means,0,0,0,0,68713,0
1465,3189,building index: performing k-means,0,0,0,0,68713,0
1525,3189,building index: performing k-means,0,0,0,0,68713,0
1586,3189,building index: performing k-means,0,0,0,0,68713,0
1647,3189,building index: performing k-means,0,0,0,0,68713,0
1707,3189,building index: performing k-means,0,0,0,0,68713,0
1768,3189,building index: performing k-means,0,0,0,0,68713,0
1829,3189,building index: performing k-means,0,0,0,0,68713,0
1889,3189,building index: performing k-means,0,0,0,0,68713,0
1950,3189,building index: performing k-means,0,0,0,0,68713,0
2011,3189,building index: performing k-means,0,0,0,0,68713,0
2071,3189,building index: performing k-means,0,0,0,0,68713,0
2132,3189,building index: performing k-means,0,0,0,0,68713,0
2194,3189,building index: performing k-means,0,0,0,0,68713,0
2255,3189,building index: performing k-means,0,0,0,0,68713,0
2315,3189,building index: performing k-means,0,0,0,0,68713,0
2376,3189,building index: performing k-means,0,0,0,0,68713,0
2437,3189,building index: performing k-means,0,0,0,0,68713,0
2497,3189,building index: performing k-means,0,0,0,0,68713,0
2558,3189,building index: performing k-means,0,0,0,0,68713,0
2619,3189,building index: performing k-means,0,0,0,0,68713,0
2679,3189,building index: performing k-means,0,0,0,0,68713,0
2740,3189,building index: performing k-means,0,0,0,0,68713,0
2800,3189,building index: performing k-means,0,0,0,0,68713,0
2861,3189,building index: performing k-means,0,0,0,0,68713,0
2921,3189,building index: performing k-means,0,0,0,0,68713,0
2982,3189,building index: performing k-means,0,0,0,0,68713,0
3043,3189,building index: performing k-means,0,0,0,0,68713,0
3103,3189,building index: performing k-means,0,0,0,0,68713,0
3164,3189,building index: performing k-means,0,0,0,0,68713,0
3224,3189,building index: performing k-means,0,0,0,0,68713,0
3284,3189,building index: performing k-means,0,0,0,0,68713,0
3344,3189,building index: performing k-means,0,0,0,0,68713,0
3405,3189,building index: performing k-means,0,0,0,0,68713,0
3465,3189,building index: performing k-means,0,0,0,0,68713,0
3525,3189,building index: performing k-means,0,0,0,0,68713,0
3586,3189,building index: performing k-means,0,0,0,0,68713,0
3648,3189,building index: performing k-means,0,0,0,0,68713,0
3709,3189,building index: performing k-means,0,0,0,0,68713,0
3770,3189,building index: performing k-means,0,0,0,0,68713,0
3831,3189,building index: performing k-means,0,0,0,0,68713,0
3892,3189,building index: performing k-means,0,0,0,0,68713,0
3952,3189,building index: performing k-means,0,0,0,0,68713,0
4013,3189,building index: performing k-means,0,0,0,0,68713,0
4074,3189,building index: performing k-means,0,0,0,0,68713,0
4134,3189,building index: performing k-means,0,0,0,0,68713,0
4195,3189,building index: performing k-means,0,0,0,0,68713,0
4255,3189,building index: performing k-means,0,0,0,0,68713,0
4316,3189,building index: performing k-means,0,0,0,0,68713,0
4376,3189,building index: performing k-means,0,0,0,0,68713,0
4436,3189,building index: performing k-means,0,0,0,0,68713,0
4497,3189,building index: performing k-means,0,0,0,0,68713,0
4558,3189,building index: performing k-means,0,0,0,0,68713,0
4618,3189,building index: performing k-means,0,0,0,0,68713,0
4678,3189,building index: performing k-means,0,0,0,0,68713,0
4739,3189,building index: performing k-means,0,0,0,0,68713,0
4799,3189,building index: performing k-means,0,0,0,0,68713,0
4859,3189,building index: performing k-means,0,0,0,0,68713,0
4920,3189,building index: performing k-means,0,0,0,0,68713,0
4980,3189,building index: performing k-means,0,0,0,0,68713,0
5041,3189,building index: performing k-means,0,0,0,0,68713,0
5101,3189,building index: performing k-means,0,0,0,0,68713,0
5161,3189,building index: performing k-means,0,0,0,0,68713,0
5222,3189,building index: performing k-means,0,0,0,0,68713,0
5283,3189,building index: performing k-means,0,0,0,0,68713,0
5345,3189,building index: performing k-means,0,0,0,0,68713,0
5406,3189,building index: performing k-means,0,0,0,0,68713,0
5467,3189,building index: performing k-means,0,0,0,0,68713,0
5528,3189,building index: performing k-means,0,0,0,0,68713,0
5588,3189,building index: performing k-means,0,0,0,0,68713,0
5649,3189,building index: performing k-means,0,0,0,0,68713,0
5709,3189,building index: performing k-means,0,0,0,0,68713,0
5770,3189,building index: performing k-means,0,0,0,0,68713,0
5830,3189,building index: performing k-means,0,0,0,0,68713,0
5891,3189,building index: performing k-means,0,0,0,0,68713,0
5952,3189,building index: performing k-means,0,0,0,0,68713,0
6012,3189,building index: performing k-means,0,0,0,0,68713,0
6073,3189,building index: performing k-means,0,0,0,0,68713,0
6133,3189,building index: performing k-means,0,0,0,0,68713,0
6194,3189,building index: performing k-means,0,0,0,0,68713,0
6254,3189,building index: performing k-means,0,0,0,0,68713,0
6314,3189,building index: performing k-means,0,0,0,0,68713,0
6374,3189,building index: performing k-means,0,0,0,0,68713,0
6435,3189,building index: performing k-means,0,0,0,0,68713,0
6495,3189,building index: performing k-means,0,0,0,0,68713,0
6555,3189,building index: performing k-means,0,0,0,0,68713,0
6615,3189,building index: performing k-means,0,0,0,0,68713,0
6676,3189,building index: performing k-means,0,0,0,0,68713,0
6736,3189,building index: performing k-means,0,0,0,0,68713,0
6796,3189,building index: performing k-means,0,0,0,0,68713,0
6857,3189,building index: performing k-means,0,0,0,0,68713,0
6917,3189,building index: performing k-means,0,0,0,0,68713,0
6978,3189,building index: performing k-means,0,0,0,0,68713,0
7039,3189,building index: performing k-means,0,0,0,0,68713,0
7100,3189,building index: performing k-means,0,0,0,0,68713,0
7161,3189,building index: performing k-means,0,0,0,0,68713,0
7222,3189,building index: performing k-means,0,0,0,0,68713,0
7282,3189,building index: performing k-means,0,0,0,0,68713,0
7342,3189,building index: performing k-means,0,0,0,0,68713,0
7403,3189,building index: performing k-means,0,0,0,0,68713,0
7464,3189,building index: performing k-means,0,0,0,0,68713,0
7525,3189,building index: performing k-means,0,0,0,0,68713,0
7587,3189,building index: performing k-means,0,0,0,0,68713,0
7648,3189,building index: performing k-means,0,0,0,0,68713,0
7710,3189,building index: performing k-means,0,0,0,0,68713,0
7772,3189,building index: performing k-means,0,0,0,0,68713,0
7834,3189,building index: performing k-means,0,0,0,0,68713,0
7895,3189,building index: performing k-means,0,0,0,0,68713,0
7957,3189,building index: performing k-means,0,0,0,0,68713,0
8019,3189,building index: performing k-means,0,0,0,0,68713,0
8083,3189,building index: assigning tuples,71488,229,0,0,68713,0
8153,3189,building index: assigning tuples,71488,1204,0,0,68713,0
8217,3189,building index: assigning tuples,71488,2096,0,0,68713,0
8300,3189,building index: assigning tuples,71488,3735,0,0,68713,0
8376,3189,building index: assigning tuples,71488,4774,0,0,68713,0
8454,3189,building index: assigning tuples,71488,5954,0,0,68713,0
8539,3189,building index: assigning tuples,71488,7367,0,0,68713,0
8616,3189,building index: assigning tuples,71488,8598,0,0,68713,0
8698,3189,building index: assigning tuples,71488,9985,0,0,68713,0
8779,3189,building index: assigning tuples,71488,11114,0,0,68713,0
8849,3189,building index: assigning tuples,71488,12481,0,0,68713,0
8937,3189,building index: assigning tuples,71488,13911,0,0,68713,0
9016,3189,building index: assigning tuples,71488,14994,0,0,68713,0
9081,3189,building index: assigning tuples,71488,16119,0,0,68713,0
9158,3189,building index: assigning tuples,71488,17361,0,0,68713,0
9230,3189,building index: assigning tuples,71488,18477,0,0,68713,0
9301,3189,building index: assigning tuples,71488,19754,0,0,68713,0
9380,3189,building index: assigning tuples,71488,20782,0,0,68713,0
9459,3189,building index: assigning tuples,71488,22362,0,0,68713,0
9541,3189,building index: assigning tuples,71488,23514,0,0,68713,0
9620,3189,building index: assigning tuples,71488,24860,0,0,68713,0
9701,3189,building index: assigning tuples,71488,26176,0,0,68713,0
9791,3189,building index: assigning tuples,71488,27929,0,0,68713,0
9877,3189,building index: assigning tuples,71488,28375,0,0,68713,0
9951,3189,building index: assigning tuples,71488,29597,0,0,68713,0
10019,3189,building index: assigning tuples,71488,30709,0,0,68713,0
10085,3189,building index: assigning tuples,71488,32151,0,0,68713,0
10166,3189,building index: assigning tuples,71488,33335,0,0,68713,0
10253,3189,building index: assigning tuples,71488,34717,0,0,68713,0
10331,3189,building index: assigning tuples,71488,35923,0,0,68713,0
10402,3189,building index: assigning tuples,71488,36875,0,0,68713,0
10465,3189,building index: assigning tuples,71488,37301,0,0,68713,0
10530,3189,building index: assigning tuples,71488,38065,0,0,68713,0
10609,3189,building index: assigning tuples,71488,39343,0,0,68713,0
10676,3189,building index: assigning tuples,71488,40600,0,0,68713,0
10769,3189,building index: assigning tuples,71488,41892,0,0,68713,0
10834,3189,building index: assigning tuples,71488,43205,0,0,68713,0
10916,3189,building index: assigning tuples,71488,44393,0,0,68713,0
10993,3189,building index: assigning tuples,71488,45615,0,0,68713,0
11067,3189,building index: assigning tuples,71488,46926,0,0,68713,0
11136,3189,building index: assigning tuples,71488,48079,0,0,68713,0
11214,3189,building index: assigning tuples,71488,49437,0,0,68713,0
11287,3189,building index: assigning tuples,71488,50563,0,0,68713,0
11389,3189,building index: assigning tuples,71488,52106,0,0,68713,0
11470,3189,building index: assigning tuples,71488,53628,0,0,68713,0
11551,3189,building index: assigning tuples,71488,54043,0,0,68713,0
11615,3189,building index: assigning tuples,71488,54240,0,0,68713,0
11687,3189,building index: assigning tuples,71488,55963,0,0,68713,0
11764,3189,building index: assigning tuples,71488,56767,0,0,68713,0
11827,3189,building index: assigning tuples,71488,57365,0,0,68713,0
11903,3189,building index: assigning tuples,71488,57791,0,0,68713,0
11964,3189,building index: assigning tuples,71488,57791,0,0,68713,0
12025,3189,building index: assigning tuples,71488,57791,0,0,68713,0
