# sampler_start_epoch_ms=1787755082919
elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
1,31977,building index: performing k-means,0,0,0,0,68707,0
61,31977,building index: performing k-means,0,0,0,0,68707,0
122,31977,building index: performing k-means,0,0,0,0,68707,0
182,31977,building index: performing k-means,0,0,0,0,68707,0
243,31977,building index: performing k-means,0,0,0,0,68707,0
303,31977,building index: performing k-means,0,0,0,0,68707,0
363,31977,building index: performing k-means,0,0,0,0,68707,0
424,31977,building index: performing k-means,0,0,0,0,68707,0
484,31977,building index: performing k-means,0,0,0,0,68707,0
544,31977,building index: performing k-means,0,0,0,0,68707,0
612,31977,building index: assigning tuples,21440,1055,0,0,68707,0
707,31977,building index: assigning tuples,21440,3273,0,0,68707,0
782,31977,building index: assigning tuples,21440,5213,0,0,68707,0
845,31977,building index: assigning tuples,21440,6850,0,0,68707,0
908,31977,building index: assigning tuples,21440,8723,0,0,68707,0
1005,31977,building index: assigning tuples,21440,11135,0,0,68707,0
1085,31977,building index: assigning tuples,21440,13186,0,0,68707,0
1157,31977,building index: assigning tuples,21440,14990,0,0,68707,0
1242,31977,building index: assigning tuples,21440,17123,0,0,68707,0
1318,31977,building index: assigning tuples,21440,18945,0,0,68707,0
1382,31977,building index: assigning tuples,21440,20543,0,0,68707,0
1444,31977,building index: assigning tuples,21440,21440,0,0,68707,0
1507,31977,building index: assigning tuples,21440,21440,0,0,68707,0
1567,31977,building index: assigning tuples,21440,21440,0,0,68707,0
1627,31977,building index: loading tuples,21440,21440,300000,41649,68707,0
1687,31977,building index: loading tuples,21440,21440,300000,69606,68707,0
1748,31977,building index: loading tuples,21440,21440,300000,97338,68707,0
1808,31977,building index: loading tuples,21440,21440,300000,131472,68707,0
1868,31977,building index: loading tuples,21440,21440,300000,131472,68707,0
1930,31977,building index: loading tuples,21440,21440,300000,142657,68707,0
1989,31977,building index: loading tuples,21440,21440,300000,158145,68707,0
2049,31977,building index: loading tuples,21440,21440,300000,158145,68707,0
2108,31977,building index: loading tuples,21440,21440,300000,158145,68707,0
2169,31977,building index: loading tuples,21440,21440,300000,158145,68707,0
2229,31977,building index: loading tuples,21440,21440,300000,182469,68707,0
2290,31977,building index: loading tuples,21440,21440,300000,210224,68707,0
2350,31977,building index: loading tuples,21440,21440,300000,239684,68707,0
2414,31977,building index: loading tuples,21440,21440,300000,261464,68707,0
2475,31977,building index: loading tuples,21440,21440,300000,297835,68707,0
