am,m,ef_construction,lists,rows,dims,mwm,iter,build_ms,index_mb,spilled,recall_at_k,query_ms_mean
hnsw,8,64,,100000,128,512MB,1,8510,71.0,no,0.9490,0.644
hnsw,8,64,,100000,128,512MB,2,7911,71.0,no,0.9420,0.506
hnsw,8,64,,100000,128,512MB,3,8326,71.0,no,0.9370,0.498
hnsw,8,200,,100000,128,512MB,1,21618,71.0,no,0.9590,0.600
hnsw,8,200,,100000,128,512MB,2,23679,71.0,no,0.9580,0.540
hnsw,8,200,,100000,128,512MB,3,26010,71.0,no,0.9580,0.542
hnsw,16,64,,100000,128,512MB,1,16744,79.4,no,0.9770,0.687
hnsw,16,64,,100000,128,512MB,2,18192,79.4,no,0.9800,0.840
hnsw,16,64,,100000,128,512MB,3,18985,79.4,no,0.9800,0.876
hnsw,16,200,,100000,128,512MB,1,41038,79.4,no,0.9890,0.888
hnsw,16,200,,100000,128,512MB,2,40573,79.4,no,0.9900,0.881
hnsw,16,200,,100000,128,512MB,3,38197,79.4,no,0.9890,0.880
hnsw,32,64,,100000,128,512MB,1,36025,98.1,no,0.9930,1.311
hnsw,32,64,,100000,128,512MB,2,36751,98.0,no,0.9940,1.271
hnsw,32,64,,100000,128,512MB,3,36968,98.1,no,0.9880,1.259
hnsw,32,200,,100000,128,512MB,1,70722,98.1,no,0.9940,1.299
hnsw,32,200,,100000,128,512MB,2,70783,98.1,no,0.9950,1.311
hnsw,32,200,,100000,128,512MB,3,68633,98.1,no,0.9940,1.323
ivfflat,,,100,100000,128,512MB,1,1147,52.5,no,0.9830,7.632
ivfflat,,,100,100000,128,512MB,2,1159,52.5,no,0.9810,7.888
ivfflat,,,100,100000,128,512MB,3,1004,52.5,no,0.9940,5.192
ivfflat,,,316,100000,128,512MB,1,2226,53.4,no,0.9500,1.845
ivfflat,,,316,100000,128,512MB,2,2023,53.4,no,0.9350,1.858
ivfflat,,,316,100000,128,512MB,3,2676,53.4,no,0.9270,1.895
ivfflat,,,1000,100000,128,512MB,1,16676,56.3,no,0.8550,0.786
ivfflat,,,1000,100000,128,512MB,2,14083,56.2,no,0.8600,0.753
ivfflat,,,1000,100000,128,512MB,3,14311,56.3,no,0.8600,0.750
