case_id	class	rows	dims	lists	target	mode	first_hit	predicted_mb	actual_mb	mwm_kb	verdict	stderr_file
S1	small	0	128	100	C3	real-threshold	C3	1		121	FAIL	stderr/S1.err
S2	small	200	128	1000	C2	real-threshold	C1	1	3	507	FAIL	stderr/S2.err
S3	small	200	128	1000	C3	real-threshold	C3	9	9	5578	PASS	stderr/S3.err
S4	small	1000	64	500	C3	real-threshold	C3	7	7	4578	PASS	stderr/S4.err
S5	small	2000	128	1000	C2	real-threshold	C1	1	22	507	FAIL	stderr/S5.err
S6	small-unlogged	500	256	200	C3	real-threshold	C3	2	11	482	FAIL	stderr/S6.err
F1	saturated	20000	128	100	C3	real-threshold	C3	10	10	7191	PASS	stderr/F1.err
F2	saturated	20000	128	200	C3	real-threshold	C3	14	14	9304	PASS	stderr/F2.err
F3	saturated	15000	128	500	C3	real-threshold	C3	44	43	28399	FAIL	stderr/F3.err
F4	saturated	20000	256	100	C3	real-threshold	C3	15	15	12291	PASS	stderr/F4.err
F5	saturated	20000	64	400	C3	real-threshold	C3	38	37	21378	FAIL	stderr/F5.err
F6	saturated	15000	128	1000	C3	real-threshold	C3	88	88	57716	PASS	stderr/F6.err
L1	large-lists	2000	128	2048	C1	real-threshold	C1	2	2	1039	PASS	stderr/L1.err
L2	large-lists	2000	128	4096	C1	real-threshold	C1	3	3	2079	PASS	stderr/L2.err
L3	large-lists	2000	128	8192	C2	real-threshold	C1	5	25	4160	FAIL	stderr/L3.err
L4	large-lists	2000	128	16384	C2	real-threshold	C1	9	29	8320	FAIL	stderr/L4.err
L5	large-lists	2000	128	32768	C1	real-threshold	C1	17	17	16639	PASS	stderr/L5.err
X1	legacy-fail	200	128	2000	C3	real-threshold	C3	23	22	12846	FAIL	stderr/X1.err
X2	legacy-fail	100	960	1000	C3	real-threshold	C3	17	17	10759	PASS	stderr/X2.err
X3	build-succeeds	20000	128	100	none	real	none	none	none	13350	PASS	stderr/X3.err
