# sampler_start_epoch_ms=1787755295473
elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
1,9972,building index: performing k-means,0,0,0,0,68707,0
63,9972,building index: performing k-means,0,0,0,0,68707,0
124,9972,building index: performing k-means,0,0,0,0,68707,0
187,9972,building index: performing k-means,0,0,0,0,68707,0
249,9972,building index: performing k-means,0,0,0,0,68707,0
311,9972,building index: performing k-means,0,0,0,0,68707,0
373,9972,building index: performing k-means,0,0,0,0,68707,0
435,9972,building index: performing k-means,0,0,0,0,68707,0
498,9972,building index: performing k-means,0,0,0,0,68707,0
559,9972,building index: performing k-means,0,0,0,0,68707,0
621,9972,building index: performing k-means,0,0,0,0,68707,0
682,9972,building index: performing k-means,0,0,0,0,68707,0
743,9972,building index: performing k-means,0,0,0,0,68707,0
804,9972,building index: performing k-means,0,0,0,0,68707,0
866,9972,building index: performing k-means,0,0,0,0,68707,0
927,9972,building index: performing k-means,0,0,0,0,68707,0
988,9972,building index: performing k-means,0,0,0,0,68707,0
1050,9972,building index: performing k-means,0,0,0,0,68707,0
1111,9972,building index: performing k-means,0,0,0,0,68707,0
1172,9972,building index: performing k-means,0,0,0,0,68707,0
1234,9972,building index: performing k-means,0,0,0,0,68707,0
1295,9972,building index: performing k-means,0,0,0,0,68707,0
1356,9972,building index: performing k-means,0,0,0,0,68707,0
1418,9972,building index: performing k-means,0,0,0,0,68707,0
1480,9972,building index: performing k-means,0,0,0,0,68707,0
1541,9972,building index: performing k-means,0,0,0,0,68707,0
1603,9972,building index: assigning tuples,21440,158,0,0,68707,0
1665,9972,building index: assigning tuples,21440,820,0,0,68707,0
1727,9972,building index: assigning tuples,21440,1447,0,0,68707,0
1790,9972,building index: assigning tuples,21440,2077,0,0,68707,0
1852,9972,building index: assigning tuples,21440,2702,0,0,68707,0
1913,9972,building index: assigning tuples,21440,3327,0,0,68707,0
1976,9972,building index: assigning tuples,21440,3994,0,0,68707,0
2037,9972,building index: assigning tuples,21440,4620,0,0,68707,0
2098,9972,building index: assigning tuples,21440,5246,0,0,68707,0
2159,9972,building index: assigning tuples,21440,5905,0,0,68707,0
2219,9972,building index: assigning tuples,21440,6532,0,0,68707,0
2281,9972,building index: assigning tuples,21440,7159,0,0,68707,0
2342,9972,building index: assigning tuples,21440,7787,0,0,68707,0
2403,9972,building index: assigning tuples,21440,8413,0,0,68707,0
2464,9972,building index: assigning tuples,21440,9039,0,0,68707,0
2525,9972,building index: assigning tuples,21440,9665,0,0,68707,0
2586,9972,building index: assigning tuples,21440,10290,0,0,68707,0
2648,9972,building index: assigning tuples,21440,10915,0,0,68707,0
2708,9972,building index: assigning tuples,21440,11542,0,0,68707,0
2769,9972,building index: assigning tuples,21440,12170,0,0,68707,0
2830,9972,building index: assigning tuples,21440,12796,0,0,68707,0
2891,9972,building index: assigning tuples,21440,13456,0,0,68707,0
2952,9972,building index: assigning tuples,21440,14080,0,0,68707,0
3012,9972,building index: assigning tuples,21440,14706,0,0,68707,0
3073,9972,building index: assigning tuples,21440,15328,0,0,68707,0
3134,9972,building index: assigning tuples,21440,15937,0,0,68707,0
3194,9972,building index: assigning tuples,21440,16562,0,0,68707,0
3255,9972,building index: assigning tuples,21440,17186,0,0,68707,0
3316,9972,building index: assigning tuples,21440,17811,0,0,68707,0
3376,9972,building index: assigning tuples,21440,18437,0,0,68707,0
3437,9972,building index: assigning tuples,21440,19063,0,0,68707,0
3498,9972,building index: assigning tuples,21440,19674,0,0,68707,0
3558,9972,building index: assigning tuples,21440,20302,0,0,68707,0
3619,9972,building index: assigning tuples,21440,20935,0,0,68707,0
3681,9972,building index: assigning tuples,21440,21440,0,0,68707,0
3742,9972,building index: assigning tuples,21440,21440,0,0,68707,0
3803,9972,building index: assigning tuples,21440,21440,0,0,68707,0
3865,9972,building index: loading tuples,21440,21440,300000,6831,68707,0
3927,9972,building index: loading tuples,21440,21440,300000,41942,68707,0
3989,9972,building index: loading tuples,21440,21440,300000,79331,68707,0
4050,9972,building index: loading tuples,21440,21440,300000,109267,68707,0
4112,9972,building index: loading tuples,21440,21440,300000,110261,68707,0
4173,9972,building index: loading tuples,21440,21440,300000,110261,68707,0
4234,9972,building index: loading tuples,21440,21440,300000,110261,68707,0
4294,9972,building index: loading tuples,21440,21440,300000,110276,68707,0
4356,9972,building index: loading tuples,21440,21440,300000,137329,68707,0
4418,9972,building index: loading tuples,21440,21440,300000,172111,68707,0
4479,9972,building index: loading tuples,21440,21440,300000,172111,68707,0
4539,9972,building index: loading tuples,21440,21440,300000,172111,68707,0
4599,9972,building index: loading tuples,21440,21440,300000,172111,68707,0
4660,9972,building index: loading tuples,21440,21440,300000,172111,68707,0
4720,9972,building index: loading tuples,21440,21440,300000,172111,68707,0
4781,9972,building index: loading tuples,21440,21440,300000,172126,68707,0
4842,9972,building index: loading tuples,21440,21440,300000,172126,68707,0
4902,9972,building index: loading tuples,21440,21440,300000,172126,68707,0
4964,9972,building index: loading tuples,21440,21440,300000,200693,68707,0
5025,9972,building index: loading tuples,21440,21440,300000,231987,68707,0
5087,9972,building index: loading tuples,21440,21440,300000,259341,68707,0
5149,9972,building index: loading tuples,21440,21440,300000,267209,68707,0
5211,9972,building index: loading tuples,21440,21440,300000,299381,68707,0
