# sampler_start_epoch_ms=1787755247114
elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
1,7630,building index: loading tuples,0,0,0,0,68701,0
61,7630,building index: loading tuples,7168,23,0,331,68701,0
122,7630,building index: loading tuples,7168,90,0,1274,68701,0
184,7630,building index: loading tuples,7168,145,0,2023,68701,0
245,7630,building index: loading tuples,7168,200,0,2761,68701,0
307,7630,building index: loading tuples,7168,246,0,3511,68701,0
369,7630,building index: loading tuples,7168,297,0,4148,68701,0
439,7630,building index: loading tuples,7168,357,0,4979,68701,0
502,7630,building index: loading tuples,7168,416,0,5744,68701,0
564,7630,building index: loading tuples,7168,462,0,6519,68701,0
627,7630,building index: loading tuples,7168,521,0,7288,68701,0
690,7630,building index: loading tuples,7168,574,0,8014,68701,0
754,7630,building index: loading tuples,7168,623,0,8730,68701,0
817,7630,building index: loading tuples,7168,671,0,9412,68701,0
880,7630,building index: loading tuples,7168,719,0,10054,68701,0
945,7630,building index: loading tuples,7168,766,0,10712,68701,0
1008,7630,building index: loading tuples,7168,810,0,11362,68701,0
1071,7630,building index: loading tuples,7168,854,0,11997,68701,0
1136,7630,building index: loading tuples,7168,901,0,12611,68701,0
1198,7630,building index: loading tuples,7168,938,0,13146,68701,0
1258,7630,building index: loading tuples,7168,974,0,13662,68701,0
1318,7630,building index: loading tuples,7168,1011,0,14201,68701,0
1379,7630,building index: loading tuples,7168,1057,0,14774,68701,0
1443,7630,building index: loading tuples,7168,1097,0,15319,68701,0
1504,7630,building index: loading tuples,7168,1132,0,15834,68701,0
1565,7630,building index: loading tuples,7168,1163,0,16348,68701,0
1626,7630,building index: loading tuples,7168,1199,0,16862,68701,0
1691,7630,building index: loading tuples,7168,1249,0,17457,68701,0
1761,7630,building index: loading tuples,7168,1285,0,17976,68701,0
1827,7630,building index: loading tuples,7168,1324,0,18486,68701,0
1891,7630,building index: loading tuples,7168,1351,0,18985,68701,0
1953,7630,building index: loading tuples,7168,1390,0,19465,68701,0
2013,7630,building index: loading tuples,7168,1426,0,19969,68701,0
2073,7630,building index: loading tuples,7168,1461,0,20455,68701,0
2134,7630,building index: loading tuples,7168,1498,0,20977,68701,0
2194,7630,building index: loading tuples,7168,1534,0,21475,68701,0
2254,7630,building index: loading tuples,7168,1569,0,21952,68701,0
2314,7630,building index: loading tuples,7168,1605,0,22467,68701,0
2374,7630,building index: loading tuples,7168,1641,0,22944,68701,0
2433,7630,building index: loading tuples,7168,1676,0,23405,68701,0
2493,7630,building index: loading tuples,7168,1714,0,23990,68701,0
2553,7630,building index: loading tuples,7168,1751,0,24530,68701,0
2613,7630,building index: loading tuples,7168,1787,0,25033,68701,0
2675,7630,building index: loading tuples,7168,1823,0,25505,68701,0
2738,7630,building index: loading tuples,7168,1854,0,25968,68701,0
2799,7630,building index: loading tuples,7168,1890,0,26445,68701,0
2861,7630,building index: loading tuples,7168,1925,0,26932,68701,0
2921,7630,building index: loading tuples,7168,1961,0,27416,68701,0
2982,7630,building index: loading tuples,7168,1996,0,27908,68701,0
3043,7630,building index: loading tuples,7168,2032,0,28396,68701,0
3103,7630,building index: loading tuples,7168,2059,0,28879,68701,0
3163,7630,building index: loading tuples,7168,2095,0,29366,68701,0
3223,7630,building index: loading tuples,7168,2130,0,29841,68701,0
3284,7630,building index: loading tuples,7168,2176,0,30422,68701,0
3343,7630,building index: loading tuples,7168,2212,0,30938,68701,0
3403,7630,building index: loading tuples,7168,2239,0,31402,68701,0
3463,7630,building index: loading tuples,7168,2274,0,31846,68701,0
3523,7630,building index: loading tuples,7168,2308,0,32283,68701,0
3586,7630,building index: loading tuples,7168,2335,0,32728,68701,0
3646,7630,building index: loading tuples,7168,2368,0,33144,68701,0
3706,7630,building index: loading tuples,7168,2395,0,33578,68701,0
3768,7630,building index: loading tuples,7168,2429,0,34001,68701,0
