dims,m,ef_construction,mwm_kb,spill_tuples,per_element,run_id
128,4,64,16384,19662,853.3,'m2fit-rocky1'
128,8,64,16384,17217,974.5,'m2fit-rocky1'
128,12,64,16384,15243,1100.7,'m2fit-rocky1'
128,16,64,16384,13679,1226.5,'m2fit-rocky1'
128,20,64,16384,12389,1354.2,'m2fit-rocky1'
128,32,64,16384,9654,1737.9,'m2fit-rocky1'
256,8,64,16384,11291,1485.9,'m2fit-rocky1'
256,12,64,16384,10407,1612.1,'m2fit-rocky1'
256,16,64,16384,9653,1738.0,'m2fit-rocky1'
256,20,64,16384,8979,1868.5,'m2fit-rocky1'
256,32,64,16384,7447,2252.9,'m2fit-rocky1'
384,4,64,16384,8920,1880.9,'m2fit-rocky1'
384,8,64,16384,8395,1998.5,'m2fit-rocky1'
384,12,64,16384,7896,2124.8,'m2fit-rocky1'
384,16,64,16384,7455,2250.5,'m2fit-rocky1'
384,20,64,16384,7051,2379.4,'m2fit-rocky1'
384,32,64,16384,6078,2760.3,'m2fit-rocky1'
128,16,64,16384,13671,1227.2,'m2fit-rocky1'
384,16,64,16384,7455,2250.5,'m2fit-rocky1'
