elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
4,10039,building index: loading tuples,7168,4,0,59,123025,0
98,10039,building index: loading tuples,7168,28,0,394,123025,0
190,10039,building index: loading tuples,7168,46,0,649,123025,0
279,10039,building index: loading tuples,7168,62,0,869,123025,0
369,10039,building index: loading tuples,7168,77,0,1080,123025,0
458,10039,building index: loading tuples,7168,91,0,1275,123025,0
547,10039,building index: loading tuples,7168,105,0,1471,123025,0
637,10039,building index: loading tuples,7168,118,0,1653,123025,0
727,10039,building index: loading tuples,7168,131,0,1842,123025,0
816,10039,building index: loading tuples,7168,144,0,2025,123025,0
906,10039,building index: loading tuples,7168,156,0,2197,123025,0
996,10039,building index: loading tuples,7168,170,0,2380,123025,0
1085,10039,building index: loading tuples,7168,183,0,2562,123025,0
1176,10039,building index: loading tuples,7168,195,0,2736,123025,0
1267,10039,building index: loading tuples,7168,207,0,2908,123025,0
1357,10039,building index: loading tuples,7168,219,0,3077,123025,0
1445,10039,building index: loading tuples,7168,230,0,3233,123025,0
1534,10039,building index: loading tuples,7168,241,0,3387,123025,0
1624,10039,building index: loading tuples,7168,254,0,3563,123025,0
1715,10039,building index: loading tuples,7168,265,0,3720,123025,0
1805,10039,building index: loading tuples,7168,277,0,3890,123025,0
1894,10039,building index: loading tuples,7168,288,0,4032,123025,0
1971,10039,building index: loading tuples,7168,299,0,4192,123025,0
2060,10039,building index: loading tuples,7168,310,0,4344,123025,0
2150,10039,building index: loading tuples,7168,321,0,4501,123025,0
2239,10039,building index: loading tuples,7168,333,0,4668,123025,0
2329,10039,building index: loading tuples,7168,345,0,4832,123025,0
2417,10039,building index: loading tuples,7168,356,0,4988,123025,0
2508,10039,building index: loading tuples,7168,368,0,5159,123025,0
2602,10039,building index: loading tuples,7168,380,0,5325,123025,0
2695,10039,building index: loading tuples,7168,392,0,5494,123025,0
2786,10039,building index: loading tuples,7168,404,0,5663,123025,0
2877,10039,building index: loading tuples,7168,415,0,5814,123025,0
2968,10039,building index: loading tuples,7168,426,0,5975,123025,0
3063,10039,building index: loading tuples,7168,438,0,6143,123025,0
3152,10039,building index: loading tuples,7168,450,0,6314,123025,0
3244,10039,building index: loading tuples,7168,462,0,6472,123025,0
3336,10039,building index: loading tuples,7168,473,0,6626,123025,0
3431,10039,building index: loading tuples,7168,485,0,6792,123025,0
3522,10039,building index: loading tuples,7168,496,0,6948,123025,0
3613,10039,building index: loading tuples,7168,508,0,7113,123025,0
3703,10039,building index: loading tuples,7168,519,0,7278,123025,0
3794,10039,building index: loading tuples,7168,530,0,7430,123025,0
3883,10039,building index: loading tuples,7168,541,0,7574,123025,0
3976,10039,building index: loading tuples,7168,552,0,7728,123025,0
4067,10039,building index: loading tuples,7168,563,0,7884,123025,0
4157,10039,building index: loading tuples,7168,577,0,8080,123025,0
4251,10039,building index: loading tuples,7168,588,0,8239,123025,0
4341,10039,building index: loading tuples,7168,599,0,8388,123025,0
4433,10039,building index: loading tuples,7168,609,0,8533,123025,0
4523,10039,building index: loading tuples,7168,620,0,8683,123025,0
4614,10039,building index: loading tuples,7168,630,0,8829,123025,0
4705,10039,building index: loading tuples,7168,641,0,8978,123025,0
4796,10039,building index: loading tuples,7168,651,0,9116,123025,0
4885,10039,building index: loading tuples,7168,660,0,9253,123025,0
4977,10039,building index: loading tuples,7168,670,0,9390,123025,0
5067,10039,building index: loading tuples,7168,680,0,9527,123025,0
5155,10039,building index: loading tuples,7168,690,0,9662,123025,0
5246,10039,building index: loading tuples,7168,700,0,9805,123025,0
5344,10039,building index: loading tuples,7168,708,0,9920,123025,0
5437,10039,building index: loading tuples,7168,717,0,10041,123025,0
5529,10039,building index: loading tuples,7168,726,0,10167,123025,0
5621,10039,building index: loading tuples,7168,736,0,10316,123025,0
5712,10039,building index: loading tuples,7168,746,0,10454,123025,0
5801,10039,building index: loading tuples,7168,756,0,10594,123025,0
5889,10039,building index: loading tuples,7168,765,0,10723,123025,0
5980,10039,building index: loading tuples,7168,775,0,10861,123025,0
6071,10039,building index: loading tuples,7168,785,0,11001,123025,0
6160,10039,building index: loading tuples,7168,795,0,11139,123025,0
6254,10039,building index: loading tuples,7168,805,0,11277,123025,0
6350,10039,building index: loading tuples,7168,815,0,11417,123025,0
6447,10039,building index: loading tuples,7168,824,0,11542,123025,0
6538,10039,building index: loading tuples,7168,834,0,11682,123025,0
6630,10039,building index: loading tuples,7168,844,0,11824,123025,0
6719,10039,building index: loading tuples,7168,854,0,11961,123025,0
6811,10039,building index: loading tuples,7168,864,0,12096,123025,0
6902,10039,building index: loading tuples,7168,873,0,12225,123025,0
6994,10039,building index: loading tuples,7168,883,0,12365,123025,0
7084,10039,building index: loading tuples,7168,892,0,12501,123025,0
7174,10039,building index: loading tuples,7168,902,0,12637,123025,0
7269,10039,building index: loading tuples,7168,911,0,12764,123025,0
7413,10039,building index: loading tuples,7168,921,0,12903,123025,0
7508,10039,building index: loading tuples,7168,931,0,13039,123025,0
7600,10039,building index: loading tuples,7168,941,0,13177,123025,0
7688,10039,building index: loading tuples,7168,950,0,13307,123025,0
7777,10039,building index: loading tuples,7168,960,0,13442,123025,0
7866,10039,building index: loading tuples,7168,969,0,13573,123025,0
7956,10039,building index: loading tuples,7168,979,0,13709,123025,0
8046,10039,building index: loading tuples,7168,988,0,13843,123025,0
8136,10039,building index: loading tuples,7168,998,0,13976,123025,0
8227,10039,building index: loading tuples,7168,1007,0,14098,123025,0
8320,10039,building index: loading tuples,7168,1016,0,14230,123025,0
8414,10039,building index: loading tuples,7168,1025,0,14359,123025,0
8502,10039,building index: loading tuples,7168,1035,0,14490,123025,0
8594,10039,building index: loading tuples,7168,1044,0,14620,123025,0
8685,10039,building index: loading tuples,7168,1053,0,14750,123025,0
8775,10039,building index: loading tuples,7168,1062,0,14876,123025,0
8866,10039,building index: loading tuples,7168,1072,0,15011,123025,0
8960,10039,building index: loading tuples,7168,1081,0,15140,123025,0
9052,10039,building index: loading tuples,7168,1090,0,15263,123025,0
9144,10039,building index: loading tuples,7168,1099,0,15390,123025,0
9234,10039,building index: loading tuples,7168,1108,0,15524,123025,0
10484,10039,building index: loading tuples,7168,1238,0,17337,123025,0
10577,10039,building index: loading tuples,7168,1247,0,17460,123025,0
10667,10039,building index: loading tuples,7168,1256,0,17586,123025,0
10758,10039,building index: loading tuples,7168,1264,0,17709,123025,0
10849,10039,building index: loading tuples,7168,1273,0,17834,123025,0
10941,10039,building index: loading tuples,7168,1282,0,17953,123025,0
11030,10039,building index: loading tuples,7168,1290,0,18070,123025,0
11119,10039,building index: loading tuples,7168,1298,0,18180,123025,0
11215,10039,building index: loading tuples,7168,1307,0,18300,123025,0
11311,10039,building index: loading tuples,7168,1314,0,18404,123025,0
11404,10039,building index: loading tuples,7168,1323,0,18531,123025,0
11496,10039,building index: loading tuples,7168,1332,0,18649,123025,0
11586,10039,building index: loading tuples,7168,1340,0,18769,123025,0
11676,10039,building index: loading tuples,7168,1348,0,18885,123025,0
11770,10039,building index: loading tuples,7168,1358,0,19024,123025,0
11860,10039,building index: loading tuples,7168,1367,0,19144,123025,0
11952,10039,building index: loading tuples,7168,1376,0,19264,123025,0
12043,10039,building index: loading tuples,7168,1384,0,19381,123025,0
12141,10039,building index: loading tuples,7168,1393,0,19506,123025,0
12243,10039,building index: loading tuples,7168,1401,0,19625,123025,0
12333,10039,building index: loading tuples,7168,1410,0,19747,123025,0
12423,10039,building index: loading tuples,7168,1419,0,19868,123025,0
12510,10039,building index: loading tuples,7168,1427,0,19989,123025,0
12598,10039,building index: loading tuples,7168,1430,0,20027,123025,0
12686,10039,building index: loading tuples,7168,1430,0,20027,123025,0
12775,10039,building index: loading tuples,7168,1430,0,20027,123025,0
12863,10039,building index: loading tuples,7168,1430,0,20027,123025,0
12950,10039,building index: loading tuples,7168,1430,0,20027,123025,0
13043,10039,building index: loading tuples,7168,1433,0,20069,123025,0
13139,10039,building index: loading tuples,7168,1441,0,20183,123025,0
13233,10039,building index: loading tuples,7168,1448,0,20284,123025,0
13322,10039,building index: loading tuples,7168,1456,0,20396,123025,0
13414,10039,building index: loading tuples,7168,1465,0,20513,123025,0
13504,10039,building index: loading tuples,7168,1473,0,20632,123025,0
13596,10039,building index: loading tuples,7168,1482,0,20750,123025,0
13688,10039,building index: loading tuples,7168,1491,0,20874,123025,0
13779,10039,building index: loading tuples,7168,1500,0,21000,123025,0
13871,10039,building index: loading tuples,7168,1508,0,21122,123025,0
13963,10039,building index: loading tuples,7168,1517,0,21242,123025,0
14055,10039,building index: loading tuples,7168,1526,0,21364,123025,0
14146,10039,building index: loading tuples,7168,1534,0,21485,123025,0
14238,10039,building index: loading tuples,7168,1543,0,21608,123025,0
14331,10039,building index: loading tuples,7168,1551,0,21724,123025,0
14424,10039,building index: loading tuples,7168,1560,0,21846,123025,0
14514,10039,building index: loading tuples,7168,1569,0,21970,123025,0
14605,10039,building index: loading tuples,7168,1578,0,22101,123025,0
14696,10039,building index: loading tuples,7168,1587,0,22226,123025,0
14787,10039,building index: loading tuples,7168,1596,0,22347,123025,0
14879,10039,building index: loading tuples,7168,1605,0,22472,123025,0
14979,10039,building index: loading tuples,7168,1614,0,22599,123025,0
15071,10039,building index: loading tuples,7168,1621,0,22706,123025,0
15160,10039,building index: loading tuples,7168,1630,0,22820,123025,0
15252,10039,building index: loading tuples,7168,1638,0,22944,123025,0
15345,10039,building index: loading tuples,7168,1646,0,23055,123025,0
15438,10039,building index: loading tuples,7168,1655,0,23171,123025,0
15531,10039,building index: loading tuples,7168,1663,0,23287,123025,0
15623,10039,building index: loading tuples,7168,1671,0,23407,123025,0
15716,10039,building index: loading tuples,7168,1681,0,23545,123025,0
15806,10039,building index: loading tuples,7168,1691,0,23683,123025,0
15898,10039,building index: loading tuples,7168,1701,0,23822,123025,0
15990,10039,building index: loading tuples,7168,1711,0,23956,123025,0
16083,10039,building index: loading tuples,7168,1720,0,24088,123025,0
16175,10039,building index: loading tuples,7168,1730,0,24223,123025,0
16263,10039,building index: loading tuples,7168,1739,0,24356,123025,0
16355,10039,building index: loading tuples,7168,1749,0,24492,123025,0
16445,10039,building index: loading tuples,7168,1758,0,24620,123025,0
16537,10039,building index: loading tuples,7168,1775,0,24854,123025,0
16691,10039,building index: loading tuples,7168,1784,0,24978,123025,0
16782,10039,building index: loading tuples,7168,1793,0,25104,123025,0
16873,10039,building index: loading tuples,7168,1802,0,25230,123025,0
16964,10039,building index: loading tuples,7168,1811,0,25355,123025,0
17056,10039,building index: loading tuples,7168,1820,0,25486,123025,0
17149,10039,building index: loading tuples,7168,1829,0,25612,123025,0
17241,10039,building index: loading tuples,7168,1838,0,25737,123025,0
17333,10039,building index: loading tuples,7168,1847,0,25861,123025,0
17424,10039,building index: loading tuples,7168,1857,0,26003,123025,0
17515,10039,building index: loading tuples,7168,1866,0,26130,123025,0
17603,10039,building index: loading tuples,7168,1876,0,26271,123025,0
17688,10039,building index: loading tuples,7168,1885,0,26400,123025,0
17779,10039,building index: loading tuples,7168,1894,0,26527,123025,0
17869,10039,building index: loading tuples,7168,1903,0,26651,123025,0
17963,10039,building index: loading tuples,7168,1912,0,26782,123025,0
18054,10039,building index: loading tuples,7168,1922,0,26911,123025,0
18146,10039,building index: loading tuples,7168,1931,0,27037,123025,0
18237,10039,building index: loading tuples,7168,1940,0,27164,123025,0
18328,10039,building index: loading tuples,7168,1949,0,27292,123025,0
18419,10039,building index: loading tuples,7168,1958,0,27420,123025,0
18510,10039,building index: loading tuples,7168,1967,0,27540,123025,0
18605,10039,building index: loading tuples,7168,1976,0,27668,123025,0
18696,10039,building index: loading tuples,7168,1985,0,27803,123025,0
18787,10039,building index: loading tuples,7168,1995,0,27934,123025,0
18880,10039,building index: loading tuples,7168,2004,0,28060,123025,0
18971,10039,building index: loading tuples,7168,2013,0,28191,123025,0
19071,10039,building index: loading tuples,7168,2022,0,28317,123025,0
19160,10039,building index: loading tuples,7168,2031,0,28437,123025,0
19249,10039,building index: loading tuples,7168,2040,0,28562,123025,0
19343,10039,building index: loading tuples,7168,2048,0,28685,123025,0
19435,10039,building index: loading tuples,7168,2057,0,28804,123025,0
19528,10039,building index: loading tuples,7168,2071,0,29000,123025,0
19679,10039,building index: loading tuples,7168,2080,0,29127,123025,0
19776,10039,building index: loading tuples,7168,2089,0,29259,123025,0
19868,10039,building index: loading tuples,7168,2099,0,29386,123025,0
19957,10039,building index: loading tuples,7168,2108,0,29512,123025,0
20049,10039,building index: loading tuples,7168,2117,0,29647,123025,0
20140,10039,building index: loading tuples,7168,2126,0,29773,123025,0
20231,10039,building index: loading tuples,7168,2136,0,29908,123025,0
20324,10039,building index: loading tuples,7168,2146,0,30056,123025,0
20418,10039,building index: loading tuples,7168,2157,0,30207,123025,0
20512,10039,building index: loading tuples,7168,2167,0,30350,123025,0
20602,10039,building index: loading tuples,7168,2177,0,30481,123025,0
20695,10039,building index: loading tuples,7168,2186,0,30608,123025,0
20776,10039,building index: loading tuples,7168,2195,0,30734,123025,0
20869,10039,building index: loading tuples,7168,2204,0,30866,123025,0
20966,10039,building index: loading tuples,7168,2213,0,30989,123025,0
21057,10039,building index: loading tuples,7168,2221,0,31107,123025,0
21155,10039,building index: loading tuples,7168,2230,0,31228,123025,0
21254,10039,building index: loading tuples,7168,2239,0,31354,123025,0
21353,10039,building index: loading tuples,7168,2248,0,31484,123025,0
21445,10039,building index: loading tuples,7168,2258,0,31614,123025,0
21540,10039,building index: loading tuples,7168,2266,0,31732,123025,0
21633,10039,building index: loading tuples,7168,2275,0,31853,123025,0
21728,10039,building index: loading tuples,7168,2283,0,31969,123025,0
21823,10039,building index: loading tuples,7168,2291,0,32086,123025,0
21916,10039,building index: loading tuples,7168,2300,0,32202,123025,0
22006,10039,building index: loading tuples,7168,2308,0,32318,123025,0
22095,10039,building index: loading tuples,7168,2316,0,32431,123025,0
