# sampler_start_epoch_ms=1787849887424
elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
6,104941,building index: loading tuples,0,0,0,0,17310,0
111,104941,building index: loading tuples,1429,73,0,1020,17310,0
244,104941,building index: loading tuples,1429,149,0,2099,17310,0
346,104941,building index: loading tuples,1429,211,0,2954,17310,0
442,104941,building index: loading tuples,1429,270,0,3777,17310,0
535,104941,building index: loading tuples,1429,331,0,4660,17310,0
641,104941,building index: loading tuples,1429,391,0,5468,17310,0
737,104941,building index: loading tuples,1429,450,0,6281,17310,0
830,104941,building index: loading tuples,1429,511,0,7128,17310,0
922,104941,building index: loading tuples,1429,562,0,7902,17310,0
1015,104941,building index: loading tuples,1429,640,0,8945,17310,0
1132,104941,building index: loading tuples,1429,700,0,9794,17310,0
1224,104941,building index: loading tuples,1429,760,0,10646,17310,0
1319,104941,building index: loading tuples,1429,814,0,11425,17310,0
1411,104941,building index: loading tuples,1429,867,0,12150,17310,0
1505,104941,building index: loading tuples,1429,924,0,12965,17310,0
1600,104941,building index: loading tuples,1429,982,0,13750,17310,0
1689,104941,building index: loading tuples,1429,1039,0,14546,17310,0
1781,104941,building index: loading tuples,1429,1102,0,15428,17310,0
1873,104941,building index: loading tuples,1429,1158,0,16210,17310,0
1967,104941,building index: loading tuples,1429,1227,0,17192,17310,0
2085,104941,building index: loading tuples,1429,1283,0,17978,17310,0
2177,104941,building index: loading tuples,1429,1340,0,18768,17310,0
2265,104941,building index: loading tuples,1429,1399,0,19572,17310,0
2356,104941,building index: loading tuples,1429,1429,0,19994,17310,0
2464,104941,building index: loading tuples,1429,1429,0,19994,17310,0
