# sampler_start_epoch_ms=1787849873752
elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
6,104291,building index: performing k-means,0,0,0,0,17320,0
96,104291,building index: performing k-means,0,0,0,0,17320,0
189,104291,building index: performing k-means,0,0,0,0,17320,0
282,104291,building index: performing k-means,0,0,0,0,17320,0
378,104291,building index: performing k-means,0,0,0,0,17320,0
475,104291,building index: performing k-means,0,0,0,0,17320,0
569,104291,building index: performing k-means,0,0,0,0,17320,0
662,104291,building index: performing k-means,0,0,0,0,17320,0
756,104291,building index: performing k-means,0,0,0,0,17320,0
849,104291,building index: performing k-means,0,0,0,0,17320,0
944,104291,building index: performing k-means,0,0,0,0,17320,0
1035,104291,building index: assigning tuples,8572,572,0,0,17320,0
1127,104291,building index: assigning tuples,8572,1438,0,0,17320,0
1216,104291,building index: assigning tuples,8572,2369,0,0,17320,0
1307,104291,building index: assigning tuples,8572,3313,0,0,17320,0
1398,104291,building index: assigning tuples,8572,4253,0,0,17320,0
1488,104291,building index: assigning tuples,8572,5191,0,0,17320,0
1577,104291,building index: assigning tuples,8572,6148,0,0,17320,0
1665,104291,building index: assigning tuples,8572,7028,0,0,17320,0
1755,104291,building index: assigning tuples,8572,7961,0,0,17320,0
1847,104291,building index: assigning tuples,8572,8572,0,0,17320,0
1938,104291,building index: assigning tuples,8572,8572,0,0,17320,0
2034,104291,building index: loading tuples,8572,8572,60000,6468,17320,0
2128,104291,building index: loading tuples,8572,8572,60000,16086,17320,0
2223,104291,building index: loading tuples,8572,8572,60000,25515,17320,0
2313,104291,building index: loading tuples,8572,8572,60000,32312,17320,0
2409,104291,building index: loading tuples,8572,8572,60000,42056,17320,0
2499,104291,building index: loading tuples,8572,8572,60000,52787,17320,0
2591,104291,building index: loading tuples,8572,8572,60000,59997,17320,0
