am,m,ef_construction,lists,rows,dims,mwm,iter,build_ms,index_mb,spilled,recall_at_k,query_ms_mean
hnsw,8,64,,100000,128,512MB,1,16702,71.0,no,0.9360,1.203
hnsw,8,64,,100000,128,512MB,2,14597,71.0,no,0.9450,1.015
hnsw,8,64,,100000,128,512MB,3,13613,71.0,no,0.9360,0.926
hnsw,8,200,,100000,128,512MB,1,35086,71.0,no,0.9660,1.011
hnsw,8,200,,100000,128,512MB,2,35477,71.0,no,0.9570,1.043
hnsw,8,200,,100000,128,512MB,3,35589,71.0,no,0.9580,0.957
hnsw,16,64,,100000,128,512MB,1,27610,79.4,no,0.9810,1.257
hnsw,16,64,,100000,128,512MB,2,27081,79.4,no,0.9810,1.419
hnsw,16,64,,100000,128,512MB,3,26867,79.4,no,0.9820,1.525
hnsw,16,200,,100000,128,512MB,1,59319,79.4,no,0.9870,1.370
hnsw,16,200,,100000,128,512MB,2,61845,79.3,no,0.9890,1.369
hnsw,16,200,,100000,128,512MB,3,61491,79.4,no,0.9900,1.336
hnsw,32,64,,100000,128,512MB,1,50642,98.1,no,0.9920,2.062
hnsw,32,64,,100000,128,512MB,2,50817,98.1,no,0.9910,1.896
hnsw,32,64,,100000,128,512MB,3,52808,98.0,no,0.9910,2.044
hnsw,32,200,,100000,128,512MB,1,117399,98.1,no,0.9940,1.978
hnsw,32,200,,100000,128,512MB,2,124906,98.1,no,0.9950,1.917
hnsw,32,200,,100000,128,512MB,3,116853,98.1,no,0.9940,1.878
ivfflat,,,100,100000,128,512MB,1,2161,52.5,no,0.9880,9.893
ivfflat,,,100,100000,128,512MB,2,1662,52.5,no,0.9830,9.266
ivfflat,,,100,100000,128,512MB,3,1616,52.5,no,0.9890,9.751
ivfflat,,,316,100000,128,512MB,1,3889,53.4,no,0.9370,3.484
ivfflat,,,316,100000,128,512MB,2,3588,53.4,no,0.9360,3.289
ivfflat,,,316,100000,128,512MB,3,4021,53.5,no,0.9280,3.148
ivfflat,,,1000,100000,128,512MB,1,25169,56.2,no,0.8720,1.290
ivfflat,,,1000,100000,128,512MB,2,28698,56.3,no,0.8560,1.223
ivfflat,,,1000,100000,128,512MB,3,30178,56.3,no,0.8660,1.398
