elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
4,115062,building index: loading tuples,7168,2,0,34,117537,0
98,115062,building index: loading tuples,7168,24,0,342,117537,0
195,115062,building index: loading tuples,7168,39,0,550,117537,0
302,115062,building index: loading tuples,7168,53,0,755,117537,0
403,115062,building index: loading tuples,7168,68,0,954,117537,0
505,115062,building index: loading tuples,7168,82,0,1150,117537,0
601,115062,building index: loading tuples,7168,94,0,1327,117537,0
707,115062,building index: loading tuples,7168,108,0,1521,117537,0
806,115062,building index: loading tuples,7168,121,0,1699,117537,0
904,115062,building index: loading tuples,7168,133,0,1876,117537,0
1001,115062,building index: loading tuples,7168,146,0,2050,117537,0
1101,115062,building index: loading tuples,7168,158,0,2215,117537,0
1200,115062,building index: loading tuples,7168,171,0,2405,117537,0
1288,115062,building index: loading tuples,7168,185,0,2593,117537,0
1371,115062,building index: loading tuples,7168,197,0,2759,117537,0
1481,115062,building index: loading tuples,7168,208,0,2919,117537,0
1579,115062,building index: loading tuples,7168,219,0,3077,117537,0
1679,115062,building index: loading tuples,7168,231,0,3236,117537,0
1782,115062,building index: loading tuples,7168,241,0,3385,117537,0
1877,115062,building index: loading tuples,7168,254,0,3565,117537,0
1971,115062,building index: loading tuples,7168,266,0,3727,117537,0
2054,115062,building index: loading tuples,7168,276,0,3875,117537,0
2156,115062,building index: loading tuples,7168,286,0,4009,117537,0
2249,115062,building index: loading tuples,7168,297,0,4169,117537,0
2337,115062,building index: loading tuples,7168,309,0,4326,117537,0
2439,115062,building index: loading tuples,7168,318,0,4464,117537,0
2530,115062,building index: loading tuples,7168,333,0,4670,117537,0
2627,115062,building index: loading tuples,7168,345,0,4839,117537,0
2730,115062,building index: loading tuples,7168,354,0,4962,117537,0
2824,115062,building index: loading tuples,7168,369,0,5174,117537,0
2920,115062,building index: loading tuples,7168,381,0,5336,117537,0
3017,115062,building index: loading tuples,7168,392,0,5501,117537,0
3112,115062,building index: loading tuples,7168,404,0,5656,117537,0
3211,115062,building index: loading tuples,7168,415,0,5820,117537,0
3311,115062,building index: loading tuples,7168,427,0,5987,117537,0
3412,115062,building index: loading tuples,7168,439,0,6150,117537,0
3513,115062,building index: loading tuples,7168,450,0,6300,117537,0
3611,115062,building index: loading tuples,7168,459,0,6431,117537,0
3704,115062,building index: loading tuples,7168,471,0,6597,117537,0
3794,115062,building index: loading tuples,7168,483,0,6768,117537,0
3886,115062,building index: loading tuples,7168,497,0,6965,117537,0
3980,115062,building index: loading tuples,7168,508,0,7124,117537,0
4081,115062,building index: loading tuples,7168,520,0,7281,117537,0
4178,115062,building index: loading tuples,7168,531,0,7437,117537,0
4278,115062,building index: loading tuples,7168,541,0,7576,117537,0
4377,115062,building index: loading tuples,7168,552,0,7738,117537,0
4474,115062,building index: loading tuples,7168,564,0,7900,117537,0
4577,115062,building index: loading tuples,7168,575,0,8062,117537,0
4677,115062,building index: loading tuples,7168,586,0,8210,117537,0
4776,115062,building index: loading tuples,7168,597,0,8359,117537,0
4872,115062,building index: loading tuples,7168,611,0,8556,117537,0
4965,115062,building index: loading tuples,7168,621,0,8697,117537,0
5057,115062,building index: loading tuples,7168,631,0,8843,117537,0
5155,115062,building index: loading tuples,7168,641,0,8986,117537,0
5254,115062,building index: loading tuples,7168,652,0,9133,117537,0
5351,115062,building index: loading tuples,7168,662,0,9274,117537,0
5454,115062,building index: loading tuples,7168,673,0,9422,117537,0
5565,115062,building index: loading tuples,7168,683,0,9568,117537,0
5659,115062,building index: loading tuples,7168,696,0,9747,117537,0
5747,115062,building index: loading tuples,7168,706,0,9895,117537,0
5836,115062,building index: loading tuples,7168,719,0,10079,117537,0
5945,115062,building index: loading tuples,7168,730,0,10223,117537,0
6057,115062,building index: loading tuples,7168,740,0,10362,117537,0
6154,115062,building index: loading tuples,7168,751,0,10521,117537,0
6234,115062,building index: loading tuples,7168,760,0,10647,117537,0
6330,115062,building index: loading tuples,7168,770,0,10783,117537,0
6426,115062,building index: loading tuples,7168,780,0,10924,117537,0
6528,115062,building index: loading tuples,7168,789,0,11053,117537,0
6629,115062,building index: loading tuples,7168,799,0,11191,117537,0
6738,115062,building index: loading tuples,7168,809,0,11328,117537,0
