elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
0,22788,building index: loading tuples,7168,0,0,0,69224,0
59,22788,building index: loading tuples,7168,29,0,418,69224,0
119,22788,building index: loading tuples,7168,53,0,750,69224,0
178,22788,building index: loading tuples,7168,75,0,1059,69224,0
238,22788,building index: loading tuples,7168,96,0,1357,69224,0
298,22788,building index: loading tuples,7168,117,0,1640,69224,0
358,22788,building index: loading tuples,7168,136,0,1916,69224,0
418,22788,building index: loading tuples,7168,156,0,2192,69224,0
478,22788,building index: loading tuples,7168,175,0,2459,69224,0
538,22788,building index: loading tuples,7168,194,0,2721,69224,0
598,22788,building index: loading tuples,7168,212,0,2979,69224,0
658,22788,building index: loading tuples,7168,230,0,3233,69224,0
718,22788,building index: loading tuples,7168,248,0,3483,69224,0
777,22788,building index: loading tuples,7168,266,0,3732,69224,0
837,22788,building index: loading tuples,7168,284,0,3980,69224,0
897,22788,building index: loading tuples,7168,301,0,4225,69224,0
958,22788,building index: loading tuples,7168,319,0,4470,69224,0
1017,22788,building index: loading tuples,7168,337,0,4729,69224,0
1078,22788,building index: loading tuples,7168,356,0,4987,69224,0
1138,22788,building index: loading tuples,7168,374,0,5240,69224,0
1198,22788,building index: loading tuples,7168,392,0,5494,69224,0
1258,22788,building index: loading tuples,7168,410,0,5746,69224,0
1319,22788,building index: loading tuples,7168,428,0,6002,69224,0
1378,22788,building index: loading tuples,7168,446,0,6253,69224,0
1439,22788,building index: loading tuples,7168,464,0,6506,69224,0
1499,22788,building index: loading tuples,7168,482,0,6752,69224,0
1559,22788,building index: loading tuples,7168,500,0,7003,69224,0
1620,22788,building index: loading tuples,7168,517,0,7246,69224,0
1680,22788,building index: loading tuples,7168,535,0,7494,69224,0
1740,22788,building index: loading tuples,7168,552,0,7734,69224,0
1801,22788,building index: loading tuples,7168,570,0,7983,69224,0
1860,22788,building index: loading tuples,7168,587,0,8224,69224,0
1921,22788,building index: loading tuples,7168,604,0,8457,69224,0
1980,22788,building index: loading tuples,7168,621,0,8697,69224,0
